lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.910000000000000142e+01,1.298417956492042835e+00,2.863892361929649133e-01,2.183344532144279038e-01,7.160531619954231264e-01
1.920000000000000284e+01,1.301292155473405154e+00,2.868393460787690974e-01,2.181796612712429695e-01,7.186992428146516954e-01
1.930000000000000071e+01,1.305124755489351029e+00,2.873473869420861138e-01,2.178088378097319533e-01,7.205761033629232148e-01
1.940000000000000213e+01,1.308104096648893044e+00,2.883996353329007500e-01,2.185508208869324787e-01,7.229663094085232444e-01
1.950000000000000000e+01,1.314842103139573393e+00,2.898168953826283367e-01,2.188470835120708002e-01,7.259695049912218145e-01
1.960000000000000142e+01,1.316013565213046688e+00,2.915933059742530920e-01,2.219269228919722170e-01,7.293462973123362447e-01
1.970000000000000284e+01,1.318726786057108136e+00,2.933651529933207214e-01,2.235649259822981294e-01,7.313891911540844060e-01
1.980000000000000071e+01,1.317876080348657108e+00,2.945955825049471621e-01,2.237307897840310200e-01,7.319819726487893918e-01
1.990000000000000213e+01,1.319890087806561807e+00,2.951477991551223479e-01,2.232503036903779881e-01,7.329200245217668552e-01
2.000000000000000000e+01,1.321105267193032118e+00,2.957691763081469749e-01,2.230971744332772289e-01,7.345939052475284337e-01
2.010000000000000142e+01,1.323440547602102058e+00,2.961381512223427714e-01,2.241332492160641177e-01,7.364915081812017927e-01
2.020000000000000284e+01,1.326601276940642338e+00,2.965989163474912482e-01,2.243802092033329587e-01,7.393709257213180175e-01
2.030000000000000071e+01,1.328400978421130585e+00,2.968774194603998051e-01,2.242672635830787187e-01,7.399401456301275548e-01
2.040000000000000213e+01,1.328179141742449332e+00,2.963564195317945904e-01,2.237591255316379313e-01,7.385363158177743470e-01
2.050000000000000000e+01,1.329353552836744612e+00,2.963499733047291196e-01,2.231067002436292190e-01,7.379068405700029976e-01
2.060000000000000142e+01,1.328183057030174696e+00,2.966119072115035449e-01,2.245175805004458736e-01,7.382960008847589961e-01
2.070000000000000284e+01,1.329076341124336924e+00,2.971919243854542203e-01,2.268494066825234023e-01,7.401979922569718040e-01
2.080000000000000071e+01,1.331525576231673336e+00,2.980553843362701572e-01,2.272602332946675463e-01,7.438117931591707865e-01
2.090000000000000213e+01,1.335417264109940438e+00,2.981749377929139855e-01,2.254166780038906193e-01,7.452672530706829779e-01
2.100000000000000000e+01,1.335364012507108900e+00,2.975564122714150495e-01,2.248761029183347915e-01,7.456726738732947224e-01
2.110000000000000142e+01,1.337249243131582777e+00,2.974771396239295762e-01,2.236335775153713012e-01,7.477237877784094211e-01
2.120000000000000284e+01,1.334948888122425625e+00,2.970490816458103422e-01,2.233588619336290826e-01,7.496829063782225466e-01
2.130000000000000071e+01,1.336162761814527977e+00,2.964944833774078026e-01,2.240133025249599341e-01,7.508918282935729271e-01
2.140000000000000213e+01,1.335345481047971905e+00,2.966704730758111808e-01,2.236805872750509128e-01,7.524033537849718067e-01
2.150000000000000000e+01,1.332755934663924613e+00,2.973422493925674814e-01,2.233904620894704152e-01,7.549110413391092456e-01
2.160000000000000142e+01,1.332819434586675067e+00,2.978535955133516100e-01,2.229316209417369354e-01,7.569140886792919964e-01
2.170000000000000284e+01,1.337335156585578666e+00,2.998724455857324500e-01,2.239169302458395849e-01,7.605965276436769118e-01
2.180000000000000071e+01,1.338686978953093076e+00,3.016338162377848464e-01,2.246586568268493789e-01,7.636456615867643904e-01
2.190000000000000213e+01,1.339512932364373521e+00,3.032534403415206303e-01,2.264645965511125070e-01,7.670885777248814819e-01
2.200000000000000000e+01,1.339128245534385364e+00,3.045090202602381280e-01,2.264705419453216240e-01,7.702100746628894878e-01
2.210000000000000142e+01,1.341827406617174923e+00,3.063330991499086942e-01,2.282761017142644899e-01,7.729133096965691285e-01
2.220000000000000284e+01,1.342598464792962965e+00,3.082180448640761128e-01,2.295341052075637045e-01,7.751784159763155380e-01
2.230000000000000071e+01,1.345712355072471667e+00,3.093770122516249499e-01,2.316011306810720205e-01,7.766516821569323659e-01
2.240000000000000213e+01,1.349964107492965582e+00,3.099804392042415646e-01,2.334908978128392154e-01,7.777860437892409884e-01
2.250000000000000000e+01,1.354719514526258051e+00,3.104386082215301879e-01,2.322434163342795288e-01,7.792280598903311706e-01
2.260000000000000142e+01,1.356931978262104321e+00,3.096858266283996630e-01,2.301685597247008774e-01,7.795170419330170741e-01
2.270000000000000284e+01,1.361059298735920020e+00,3.091463264616636231e-01,2.294430119819824421e-01,7.805327475585420727e-01
2.280000000000000071e+01,1.363263236568248660e+00,3.094219299827594138e-01,2.283568246331236506e-01,7.813605543670192333e-01
2.290000000000000213e+01,1.364095530288181424e+00,3.102726265328266675e-01,2.284897191611167111e-01,7.824099282211816053e-01
2.300000000000000000e+01,1.364018476342174546e+00,3.111706743918271068e-01,2.304599737530498571e-01,7.838964340743671544e-01
