lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.580000000000000071e+01,2.400751934367611362e+00,2.114737020904404741e-01,1.994978651143488879e-01,5.151489476353853236e-01
1.590000000000000036e+01,2.414747709355487881e+00,2.129347780208128704e-01,1.990419873768670134e-01,5.191749930392587364e-01
1.600000000000000000e+01,2.425279003725230087e+00,2.135887342214997375e-01,1.987146710863980648e-01,5.207723426435105774e-01
1.610000000000000142e+01,2.439458948097728452e+00,2.140408967591768685e-01,1.995990313045291897e-01,5.213551740682820235e-01
1.619999999999999929e+01,2.449898569805994519e+00,2.147962055325001451e-01,1.991721504817890176e-01,5.219387860678801339e-01
1.630000000000000071e+01,2.461435132797244130e+00,2.161801793202499378e-01,2.009518961910141122e-01,5.230767317135105454e-01
1.640000000000000213e+01,2.476299187809416047e+00,2.178508411353731744e-01,2.036913189271245539e-01,5.254788868604727270e-01
1.650000000000000000e+01,2.491052015853278956e+00,2.189859824149006373e-01,2.040175663839695064e-01,5.280088051329205889e-01
1.660000000000000142e+01,2.502745409816782285e+00,2.196244765167237878e-01,2.061606382217180677e-01,5.286946772333920297e-01
1.669999999999999929e+01,2.512487908067765563e+00,2.197692078262944437e-01,2.064276046089320582e-01,5.277282249310002449e-01
1.680000000000000071e+01,2.523639323238550336e+00,2.196699065500358206e-01,2.066900097501726541e-01,5.272455302630975060e-01
1.690000000000000213e+01,2.533149378031514409e+00,2.192887449158174851e-01,2.049614967766333617e-01,5.273968778443226535e-01
1.700000000000000000e+01,2.548662501551083093e+00,2.188647118075441322e-01,2.058560896275987429e-01,5.288334429592926877e-01
1.710000000000000142e+01,2.557379802128429080e+00,2.178038547938058456e-01,2.051287106483206391e-01,5.280859418975345498e-01
1.719999999999999929e+01,2.568269270586656550e+00,2.170715560038332936e-01,2.030051751857153974e-01,5.281739051612813762e-01
1.730000000000000071e+01,2.581412924071021298e+00,2.171628583701999404e-01,2.015184939523843588e-01,5.302418722281022623e-01
1.740000000000000213e+01,2.593768376563731604e+00,2.172945043103292062e-01,2.024611044388921199e-01,5.327260721567103063e-01
1.750000000000000000e+01,2.602472302408575633e+00,2.172498654122558270e-01,2.009665087338570189e-01,5.334505641379752028e-01
1.760000000000000142e+01,2.616115855995065687e+00,2.173954894853619979e-01,2.018560825813393023e-01,5.340825016165231531e-01
1.769999999999999929e+01,2.629989229211498802e+00,2.176703208459069006e-01,2.022957236859000973e-01,5.360266705693729206e-01
1.780000000000000071e+01,2.641474820282847524e+00,2.195278392155574909e-01,2.040219387028056330e-01,5.380961348282636836e-01
1.790000000000000213e+01,2.652449706807004315e+00,2.209625884470422241e-01,2.049946914653670293e-01,5.397142838101867124e-01
1.800000000000000000e+01,2.669253252834260515e+00,2.221959495936346729e-01,2.069178830891840737e-01,5.410443885185570734e-01
1.810000000000000142e+01,2.685553897191144568e+00,2.240175949411920553e-01,2.090306032534328951e-01,5.437506012824208090e-01
1.819999999999999929e+01,2.702226081710103589e+00,2.256932297124371323e-01,2.113509167577683756e-01,5.480406157496574560e-01
1.830000000000000071e+01,2.715539029580492869e+00,2.276730608767386643e-01,2.124336117641552057e-01,5.504536400764159509e-01
1.840000000000000213e+01,2.727996028831053632e+00,2.298719014913685188e-01,2.140919366540675883e-01,5.527149579546926095e-01
1.850000000000000000e+01,2.742818408894030391e+00,2.315225193014216754e-01,2.173510872687877959e-01,5.546361057452329213e-01
1.860000000000000142e+01,2.750834395709006230e+00,2.328470274296977893e-01,2.181088638028258753e-01,5.546844245024215025e-01
1.869999999999999929e+01,2.761889457205557008e+00,2.343432062251638581e-01,2.194774203366265386e-01,5.567230716261969414e-01
1.880000000000000071e+01,2.778147365291343540e+00,2.347525461120414936e-01,2.198413981051218768e-01,5.591593193005108819e-01
1.890000000000000213e+01,2.792164773351804463e+00,2.333146794880814612e-01,2.190667082776675267e-01,5.582669187483605411e-01
1.900000000000000000e+01,2.796365575039980289e+00,2.312373940317948851e-01,2.161727186500164433e-01,5.549598157680987187e-01
1.910000000000000142e+01,2.808908163485114517e+00,2.288201209469545305e-01,2.145964777134916346e-01,5.539528350147727709e-01
1.920000000000000284e+01,2.822266895896845984e+00,2.254292331309444841e-01,2.139575957693704289e-01,5.510828221222436873e-01
1.930000000000000071e+01,2.832792425916479395e+00,2.232402854560490979e-01,2.129074241864273853e-01,5.486714884975711914e-01
1.940000000000000213e+01,2.846450990436503403e+00,2.218675207428802698e-01,2.098599811847579599e-01,5.483880678428697530e-01
1.950000000000000000e+01,2.854250416806100255e+00,2.207426657935616099e-01,2.086182089210951995e-01,5.473321167100043683e-01
1.960000000000000142e+01,2.867732752205439883e+00,2.209499033831253123e-01,2.093096379293934717e-01,5.477278614627998365e-01
1.970000000000000284e+01,2.878889493343933736e+00,2.226991727953625821e-01,2.106920732158554521e-01,5.501128559254423456e-01
1.980000000000000071e+01,2.889585089975055254e+00,2.253261175392921312e-01,2.111562752268056342e-01,5.538048066309614326e-01
1.990000000000000213e+01,2.897963954091677952e+00,2.280983591088061313e-01,2.127423454788219259e-01,5.577655758731370206e-01
2.000000000000000000e+01,2.907461962181525639e+00,2.292527476349722759e-01,2.154448137999672996e-01,5.594202833408441489e-01
