lag_ps,Li,Zr,Cl,S,O
9.200000000000001066e+00,8.820418348729154312e-01,4.340703598761977977e-01,9.155614255078012853e-01,3.072445905700186275e-01,4.502019397562583292e-01
9.300000000000000711e+00,8.830686480890584944e-01,4.354130573199318510e-01,9.182398773545288329e-01,3.084860334240420721e-01,4.523913855111910687e-01
9.400000000000000355e+00,8.834589384369108123e-01,4.363371291703486143e-01,9.203146080916416727e-01,3.099681518457244045e-01,4.539804810394846291e-01
9.500000000000000000e+00,8.845026943491169913e-01,4.373749291444850029e-01,9.226098129963973271e-01,3.118279753380576724e-01,4.563132292431327786e-01
9.600000000000001421e+00,8.857004264079404443e-01,4.387573575928064851e-01,9.246050758650138368e-01,3.130395455649235270e-01,4.580279936693231191e-01
9.700000000000001066e+00,8.863888042664433975e-01,4.399001969713610127e-01,9.266950062539103250e-01,3.139827854617673331e-01,4.596266006654754488e-01
9.800000000000000711e+00,8.878357649679317065e-01,4.405293281648248183e-01,9.279614883052836882e-01,3.145234998114392888e-01,4.601491472568123853e-01
9.900000000000000355e+00,8.891578767341470346e-01,4.409111554616931827e-01,9.284948667664985056e-01,3.151512637799953609e-01,4.612628966865292002e-01
1.000000000000000000e+01,8.890968295801745525e-01,4.412642577492492113e-01,9.292374549117359273e-01,3.161137694069160453e-01,4.622938168307599294e-01
1.010000000000000142e+01,8.923170452640816208e-01,4.417737361141722552e-01,9.304896344732577207e-01,3.169353423349912102e-01,4.635264158640112764e-01
1.020000000000000107e+01,8.923264182710451964e-01,4.422629751286716315e-01,9.311939206602765084e-01,3.172194066943497259e-01,4.639445253945068681e-01
1.030000000000000071e+01,8.941726540324339556e-01,4.428717486161176109e-01,9.324520690434285886e-01,3.174057283988646061e-01,4.650735434475679053e-01
1.040000000000000036e+01,8.949689956859973039e-01,4.434934460541186674e-01,9.344132953947132947e-01,3.172930859775463519e-01,4.651069030591768461e-01
1.050000000000000000e+01,8.984582402289098546e-01,4.445495078063305683e-01,9.372377970192576901e-01,3.174366472254045446e-01,4.660521407246407399e-01
1.060000000000000142e+01,8.983290866310594813e-01,4.457115463942570854e-01,9.403978104024227624e-01,3.172671992689691245e-01,4.663146472255406683e-01
1.070000000000000107e+01,9.010907810756844105e-01,4.466848509208086737e-01,9.435967992894129797e-01,3.175038983997178765e-01,4.668985718917739725e-01
1.080000000000000071e+01,9.042122020101015512e-01,4.472902173626334132e-01,9.453948873679125509e-01,3.178267600733625797e-01,4.670880063994471976e-01
1.090000000000000036e+01,9.053749402006897595e-01,4.472940141460273744e-01,9.460297643032443693e-01,3.173445331570999284e-01,4.667410128350427678e-01
1.100000000000000000e+01,9.064538570229367931e-01,4.467940821207746493e-01,9.463262649569816887e-01,3.165430678065059289e-01,4.664229982708729128e-01
1.110000000000000142e+01,9.075708621477299731e-01,4.460428217066799150e-01,9.463080953357404512e-01,3.157067963687106849e-01,4.660010003534427181e-01
1.120000000000000107e+01,9.104686117249671806e-01,4.454465471076506922e-01,9.466902330901634244e-01,3.153399264049763229e-01,4.660527974304415899e-01
1.130000000000000071e+01,9.102651644208472614e-01,4.450330491663178067e-01,9.474407949297998233e-01,3.153165080405835874e-01,4.662925978149841111e-01
1.140000000000000036e+01,9.120460136734941381e-01,4.447577194423612545e-01,9.485864707354928482e-01,3.153632762985674742e-01,4.664174201099587913e-01
1.150000000000000000e+01,9.136279068924676450e-01,4.443688952074154042e-01,9.495233728832219722e-01,3.155855672223213393e-01,4.668947544190904519e-01
1.160000000000000142e+01,9.146976540212906626e-01,4.436677924173763055e-01,9.498037565309574992e-01,3.153774528887619555e-01,4.668385701110930874e-01
1.170000000000000107e+01,9.165001720632400817e-01,4.435177829175072084e-01,9.507397656689968723e-01,3.148119611387594219e-01,4.668369527372569494e-01
1.180000000000000071e+01,9.178094668743819184e-01,4.432588418697665511e-01,9.512421839570457394e-01,3.142569333863763914e-01,4.666163445824343947e-01
1.190000000000000036e+01,9.201611083828089566e-01,4.431521482120671651e-01,9.525009689976098315e-01,3.138126166398094719e-01,4.663438711711521134e-01
1.200000000000000000e+01,9.212241486768583121e-01,4.436165763089456870e-01,9.543628090142356468e-01,3.139213197001738398e-01,4.664986623967292689e-01
