lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.785000000000000000e+02,1.662037436935606349e+00,2.953704320090557722e-01,7.907644304428256277e-01,2.069718301332490462e-01
2.786000000000000227e+02,1.665649281875167365e+00,3.002178489081989143e-01,7.938499394732976278e-01,2.111043933402322326e-01
2.786999999999999886e+02,1.669837970264044014e+00,3.016357249983843136e-01,7.942526677088447284e-01,2.160387649831528312e-01
2.788000000000000114e+02,1.670460068389158836e+00,3.019299073216442642e-01,7.941718166235318677e-01,2.156108520527683647e-01
2.789000000000000341e+02,1.668250464607907491e+00,3.013166155772619148e-01,7.955257507443895815e-01,2.148791639715841584e-01
2.790000000000000000e+02,1.666300709166695038e+00,2.989403673444795961e-01,7.952975863923053002e-01,2.140931430860087969e-01
2.791000000000000227e+02,1.663060446510696400e+00,2.957550527623272196e-01,7.921205843346633690e-01,2.102566723859917164e-01
2.791999999999999886e+02,1.656508759710522583e+00,2.940756190914584067e-01,7.899823291077655574e-01,2.061992275484642034e-01
2.793000000000000114e+02,1.656278712485426574e+00,2.912093407417201685e-01,7.872203630590421941e-01,2.030275650129426124e-01
2.794000000000000341e+02,1.656393730371323425e+00,2.907826956621478720e-01,7.859839065431833971e-01,2.057125800902173396e-01
2.795000000000000000e+02,1.661735026905392099e+00,2.917828832824341800e-01,7.857504970195273719e-01,2.059648288198470123e-01
2.796000000000000227e+02,1.657838886543947510e+00,2.923336656195149597e-01,7.844352894242234697e-01,2.053511656419339526e-01
2.796999999999999886e+02,1.663677974547213445e+00,2.923049422137022346e-01,7.872039700874839951e-01,2.052100376535132831e-01
2.798000000000000114e+02,1.667501423044348785e+00,2.934868616028109556e-01,7.924523400379106519e-01,2.080216979723190363e-01
2.799000000000000341e+02,1.670929635417658377e+00,2.954664882927978131e-01,7.956823372065388034e-01,2.073301567323233285e-01
2.800000000000000000e+02,1.673654342507355564e+00,2.971037865060727201e-01,7.949227661429788538e-01,2.103306821618178835e-01
2.801000000000000227e+02,1.669112557430468602e+00,2.988014096406512721e-01,7.917933034800078707e-01,2.111869517633113980e-01
2.801999999999999886e+02,1.664023621533987418e+00,2.997587511097090651e-01,7.898566589262095983e-01,2.139571805644661096e-01
2.803000000000000114e+02,1.662266740163996337e+00,2.993426330409484915e-01,7.898209610631855560e-01,2.151360162084414440e-01
2.804000000000000341e+02,1.664816178166473426e+00,2.973865618388371046e-01,7.900256389204559637e-01,2.121547376257605366e-01
2.805000000000000000e+02,1.663107631015992016e+00,2.959346767294042668e-01,7.872899254734962993e-01,2.084550100662412309e-01
2.806000000000000227e+02,1.663477159161369734e+00,2.933599879155411316e-01,7.850498242993269038e-01,2.095397658881165692e-01
2.806999999999999886e+02,1.665069292546585311e+00,2.916440313785243488e-01,7.846743612686285507e-01,2.049750457992743635e-01
2.808000000000000114e+02,1.662842205390971495e+00,2.923211572379354473e-01,7.877365159463282085e-01,2.059438044301835080e-01
2.809000000000000341e+02,1.662144636119751162e+00,2.934387283811100700e-01,7.894016690674966474e-01,2.024162746271689350e-01
2.810000000000000000e+02,1.655578351978984841e+00,2.948778522779720301e-01,7.893751458546619526e-01,2.022258186049576689e-01
