time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3,volume_A3
1.330999999999999943e+02,3.475328907599999866e+02,1.983508629046666361e-01,-5.476571491544117265e+00,1.852787390649060839e+00,8.259502961332022096e+03
1.331500000000000057e+02,2.985008716199999981e+02,-7.610376562999998651e-02,-5.471962508823529525e+00,1.852703132438099809e+00,8.259878591367274566e+03
1.332000000000000171e+02,3.251384280899999908e+02,-3.633956985066668505e-02,-5.477054647426470524e+00,1.862675065709549216e+00,8.215658877655687320e+03
1.332500000000000000e+02,3.292213883499999838e+02,3.760330121866666819e-01,-5.478862594852941470e+00,1.873323516490180696e+00,8.168958967886186656e+03
1.333000000000000114e+02,3.111240417000000207e+02,3.896510649800000170e-02,-5.477871355147058807e+00,1.870599516551383790e+00,8.180854749709963471e+03
1.333499999999999943e+02,3.169544078499999955e+02,-2.072443506666669325e-03,-5.479266932720587846e+00,1.870912100364229058e+00,8.179487928270569682e+03
1.334000000000000057e+02,3.328553988699999877e+02,6.117331875933334356e-02,-5.481409108823529941e+00,1.876857435485703940e+00,8.153577704118119982e+03
1.334500000000000171e+02,3.039573914000000059e+02,1.601965482666666551e-01,-5.477813372426470373e+00,1.885991192584634435e+00,8.114090352040610924e+03
1.335000000000000000e+02,3.156282256999999731e+02,1.226506145126666641e-01,-5.478484083088235757e+00,1.894960717898758196e+00,8.075683466807434343e+03
1.335500000000000114e+02,3.005592631600000004e+02,-2.828947420019999881e-01,-5.474705721323529062e+00,1.901523387254544506e+00,8.047812108101104059e+03
1.335999999999999943e+02,3.519596800900000062e+02,1.270761810199999842e-01,-5.479251636029411010e+00,1.911509771317531969e+00,8.005767571481831510e+03
1.336500000000000057e+02,3.373231018299999846e+02,2.552556857066666865e-02,-5.477035311029411879e+00,1.911159669847399822e+00,8.007234131832875391e+03
1.337000000000000171e+02,3.167125912999999855e+02,1.351091111553333335e-01,-5.474874437499999580e+00,1.904189306216482080e+00,8.036544943207858523e+03
1.337500000000000000e+02,3.494046309799999790e+02,-2.015445487856666329e-01,-5.479759141911764608e+00,1.889631206178824074e+00,8.098460106789932070e+03
1.338000000000000114e+02,3.235229359799999997e+02,-3.066911435533332952e-02,-5.478225248161765037e+00,1.883818384873227725e+00,8.123449193757803187e+03
1.338499999999999943e+02,2.976954832399999873e+02,-1.598598650563333445e-01,-5.476206827941176414e+00,1.881573516906529742e+00,8.133141119537109262e+03
1.339000000000000057e+02,3.115018054299999903e+02,1.456251519166667542e-02,-5.477904505882353448e+00,1.883121955846098095e+00,8.126453463237739015e+03
1.339500000000000171e+02,3.122935152499999845e+02,-1.761588668509999900e-01,-5.477385031250000758e+00,1.884582187355429816e+00,8.120156840312108216e+03
1.340000000000000000e+02,3.279619939599999725e+02,-2.806467404053333836e-02,-5.478056145220588036e+00,1.893638747520992149e+00,8.081321191709985214e+03
1.340500000000000114e+02,3.270792015800000172e+02,-1.467750388373333381e-01,-5.477077622426470782e+00,1.903309714758624427e+00,8.040258934802563090e+03
1.340999999999999943e+02,3.432550198600000044e+02,7.808291672200000366e-02,-5.479276942647058668e+00,1.917183217758769098e+00,7.982076411911338255e+03
1.341500000000000057e+02,3.486862073199999941e+02,-1.287745513633333505e-01,-5.481341852205882326e+00,1.924212005003305137e+00,7.952919376863706020e+03
1.342000000000000171e+02,3.055162033400000041e+02,-2.380679667123333787e-02,-5.478134176838235447e+00,1.933403950540465877e+00,7.915108963911397041e+03
1.342500000000000000e+02,3.255933481700000129e+02,-8.209153293666671125e-03,-5.482248324264705985e+00,1.940640046984787537e+00,7.885595767005475864e+03
1.343000000000000114e+02,3.062044580799999949e+02,1.420225567456666615e-01,-5.480469670588234976e+00,1.944835413645558120e+00,7.868585090755399506e+03
1.343499999999999943e+02,3.139403831800000262e+02,-6.485570678766666708e-02,-5.481613418014705807e+00,1.931139112598619922e+00,7.924391795468357486e+03
1.344000000000000057e+02,3.112617792600000257e+02,-9.352253731736333286e-02,-5.480622720220587496e+00,1.909237869606503546e+00,8.015294051829455384e+03
1.344500000000000171e+02,3.270358618999999862e+02,2.726173467583333232e-01,-5.481541497426469789e+00,1.895070711712959710e+00,8.075214737476487244e+03
1.345000000000000000e+02,3.293844542499999761e+02,-2.192257764933333297e-01,-5.481137103676470446e+00,1.879774817210198012e+00,8.140923476406665031e+03
1.345500000000000114e+02,3.081498247700000093e+02,-1.416548180996666517e-01,-5.477538156985294115e+00,1.869160686718270625e+00,8.187152152580614711e+03
1.345999999999999943e+02,3.193448334000000273e+02,7.304562708999993818e-03,-5.477295654044118223e+00,1.864502063838972434e+00,8.207608474444788953e+03
1.346500000000000057e+02,3.275121574500000179e+02,4.760466425033332838e-02,-5.477283677573529630e+00,1.870970091525106183e+00,8.179234403106010177e+03
1.347000000000000171e+02,3.178182545700000219e+02,2.648785856573333541e-01,-5.476082369117646564e+00,1.878098628068514575e+00,8.148189190427478934e+03
1.347500000000000000e+02,3.360900351299999897e+02,-4.022436378600000029e-02,-5.478486769117647093e+00,1.872389209408334754e+00,8.173035212385276282e+03
1.348000000000000114e+02,3.075895728899999995e+02,-4.697210942666666528e-02,-5.475362895220588833e+00,1.867254693701168033e+00,8.195509156520898614e+03
1.348499999999999943e+02,3.163995540899999810e+02,5.175813210333325871e-03,-5.477311193750000307e+00,1.873662900143458154e+00,8.167479293427252742e+03
1.349000000000000057e+02,3.142004936000000157e+02,-1.200505891283000087e-01,-5.478064502573529282e+00,1.882859032047479619e+00,8.127588247083733222e+03
1.349500000000000171e+02,3.122745181799999727e+02,-5.036747015733333832e-02,-5.479825972794118094e+00,1.883590690819505697e+00,8.124431180495233093e+03
1.350000000000000000e+02,2.829479172399999811e+02,1.241419188796666767e-01,-5.478837659558823958e+00,1.887251816175858687e+00,8.108670400324876027e+03
1.350500000000000114e+02,2.868250447899999926e+02,-2.282486576600000205e-01,-5.481004019117646564e+00,1.890001102057496496e+00,8.096875141038412949e+03
1.350999999999999943e+02,3.018206814700000109e+02,2.566754126499999900e-01,-5.482750063235293680e+00,1.898246425132225523e+00,8.061705128046578466e+03
1.351500000000000057e+02,3.156613118700000200e+02,2.241991930333333063e-02,-5.482865029044117655e+00,1.899569121577306285e+00,8.056091650446299354e+03
1.352000000000000171e+02,3.154238030399999957e+02,3.213050151466666504e-01,-5.481012659558823330e+00,1.911934169347116352e+00,8.003990506121987892e+03
1.352500000000000000e+02,3.214046295300000224e+02,2.998461093029999858e-01,-5.480053247058823906e+00,1.920671016966736921e+00,7.967581540305804083e+03
1.353000000000000114e+02,3.295377539699999829e+02,1.086349848033333343e-01,-5.480255030514705084e+00,1.922448867641683545e+00,7.960213245389069925e+03
1.353499999999999943e+02,3.096320086399999809e+02,-3.598680949000000046e-02,-5.476975467647058338e+00,1.925247250009756383e+00,7.948642928697599018e+03
1.354000000000000057e+02,3.378545702299999789e+02,1.562452262633333422e-01,-5.479514427205882221e+00,1.930544507226018336e+00,7.926832498554222184e+03
1.354500000000000171e+02,3.165372365599999966e+02,-7.860320612333332457e-02,-5.476678581249999844e+00,1.924978001206366418e+00,7.949754714180749943e+03
1.355000000000000000e+02,3.273758482200000230e+02,-1.594821480466666885e-01,-5.477815017279412224e+00,1.915567444509692185e+00,7.988809260486009407e+03
1.355500000000000114e+02,3.151945292600000244e+02,7.540511715900000134e-02,-5.475877848529411729e+00,1.907526318386227882e+00,8.022485872032954831e+03
1.355999999999999943e+02,3.392414289899999744e+02,-5.009832507466666085e-01,-5.477229251470587812e+00,1.894812223276627350e+00,8.076316350398811664e+03
1.356500000000000057e+02,3.526634838900000091e+02,1.920026809766666454e-01,-5.475883111764706435e+00,1.902097243727845166e+00,8.045384109695991356e+03
1.357000000000000171e+02,3.475429251200000067e+02,-1.927118454966666727e-01,-5.473325851470588255e+00,1.906238921798264263e+00,8.027903934176443727e+03
1.357500000000000000e+02,3.761597247000000266e+02,2.498828266699999745e-01,-5.477205901470588501e+00,1.919031636680250896e+00,7.974388044095779151e+03
1.358000000000000114e+02,3.532222532800000181e+02,-1.428144667666667901e-02,-5.477311522058823101e+00,1.921738792967678355e+00,7.963154511832727621e+03
1.358499999999999943e+02,3.275391160400000103e+02,1.713240392759999564e-01,-5.476251954044117909e+00,1.924084038414382913e+00,7.953448308004089085e+03
1.359000000000000057e+02,3.181945048000000043e+02,-9.674215076999999330e-02,-5.476409476838234980e+00,1.915797467045544877e+00,7.987850074457136543e+03
1.359500000000000171e+02,3.367692196200000012e+02,-3.298745137799999894e-01,-5.480350981249999975e+00,1.910771598245311065e+00,8.008860375482662675e+03
1.360000000000000000e+02,3.035200602599999797e+02,2.633693834360000263e-01,-5.478035538970588370e+00,1.906828814060311128e+00,8.025420439918172633e+03
1.360500000000000114e+02,2.996635749499999974e+02,3.354981498999999867e-01,-5.478306652941176580e+00,1.898497256386611154e+00,8.060640007934894129e+03
1.360999999999999943e+02,3.153770448999999871e+02,1.226951402073333391e-01,-5.480294629411765150e+00,1.892619259269438636e+00,8.085674318717241476e+03
1.361500000000000057e+02,3.189142919500000062e+02,-3.796887775333334519e-02,-5.480158343382353081e+00,1.889117915161730776e+00,8.100660534191389161e+03
1.362000000000000171e+02,3.239413912399999731e+02,-6.571884842666676947e-03,-5.479761107720587887e+00,1.888832043309527586e+00,8.101886556822241801e+03
1.362500000000000000e+02,3.162601443899999936e+02,-1.262573591856666622e-01,-5.476336292647058457e+00,1.887325392453261141e+00,8.108354288548323893e+03
1.363000000000000114e+02,3.618249855500000081e+02,-3.354534961966666451e-01,-5.478797688970588275e+00,1.887272073077759682e+00,8.108583366482119345e+03
1.363499999999999943e+02,3.212607134099999939e+02,6.875765699933333863e-02,-5.473277819485294238e+00,1.893365793913053707e+00,8.082486220561398113e+03
1.364000000000000057e+02,3.128881761100000176e+02,-3.186445889639999973e-01,-5.472769497794117477e+00,1.890219344065869223e+00,8.095940287473470562e+03
1.364500000000000171e+02,3.236313203099999782e+02,2.514486651063332912e-01,-5.474845783455882575e+00,1.892332690658773409e+00,8.086898786522107002e+03
1.365000000000000000e+02,3.193415998899999977e+02,-1.874184336099999904e-01,-5.475655152941176773e+00,1.874373998503381156e+00,8.164380722312364014e+03
1.365500000000000114e+02,3.084307301800000118e+02,2.727204036229999851e-01,-5.475181011764705730e+00,1.869129483441279715e+00,8.187288829027402244e+03
1.365999999999999943e+02,3.092978115500000058e+02,3.130627177666667205e-02,-5.476403947794118210e+00,1.867125069257987047e+00,8.196078126606775186e+03
1.366500000000000057e+02,3.077907831599999895e+02,2.789449818266666603e-01,-5.476920575735293895e+00,1.870588014823593603e+00,8.180905051520771849e+03
1.367000000000000171e+02,3.432435497399999917e+02,-1.861591475833333231e-01,-5.482203032352940930e+00,1.864179739568649685e+00,8.209027603382019151e+03
1.367500000000000000e+02,2.777961841299999719e+02,-1.358186018153666741e-01,-5.474922687500000329e+00,1.868234730717882153e+00,8.191209963163581961e+03
1.368000000000000114e+02,3.062719094299999938e+02,-4.899617831000000617e-02,-5.478510967647059360e+00,1.877211129555083735e+00,8.152041450665980847e+03
1.368499999999999943e+02,3.247288518299999964e+02,-8.802586483000000850e-02,-5.480032014338235058e+00,1.884055758144719928e+00,8.122425715709137876e+03
1.369000000000000057e+02,3.133499497000000247e+02,1.803016954599999944e-01,-5.477649694852940954e+00,1.894834874058192176e+00,8.076219806430782228e+03
1.369500000000000171e+02,3.387765788899999961e+02,-1.000630755500000156e-02,-5.479139863970588387e+00,1.901255458724455005e+00,8.048946221067705665e+03
1.370000000000000000e+02,3.455758332300000006e+02,2.182021535733333073e-01,-5.477799249264705850e+00,1.907740090341155659e+00,8.021586911793597210e+03
1.370500000000000114e+02,3.173583703599999808e+02,-3.835479050966666414e-01,-5.472822517647058405e+00,1.912279390318918804e+00,8.002545557546581222e+03
1.370999999999999943e+02,3.399748565599999779e+02,7.593746292599999614e-02,-5.474440574264705539e+00,1.933615870587304775e+00,7.914241485376553101e+03
1.371500000000000057e+02,3.518231966199999761e+02,1.697131804399999722e-01,-5.475589520955882250e+00,1.947207614617619598e+00,7.858999125159890355e+03
1.372000000000000171e+02,3.069284235100000160e+02,3.558156423633333509e-01,-5.473422294485294159e+00,1.946934936822118933e+00,7.860099816567579182e+03
1.372500000000000000e+02,3.284005503399999952e+02,-1.278345015100000037e-01,-5.479779071323529038e+00,1.928862495128839782e+00,7.933744877320747946e+03
1.373000000000000114e+02,3.112866453799999817e+02,1.175412379533333357e-01,-5.478804046323529242e+00,1.912439744688548382e+00,8.001874559596514700e+03
1.373499999999999943e+02,3.043324140500000112e+02,-2.733963885733333155e-01,-5.478086135294117476e+00,1.889496180827112903e+00,8.099038831126787045e+03
1.374000000000000057e+02,2.996727189700000054e+02,2.040417535040000008e-01,-5.476788828676470544e+00,1.881366061178612048e+00,8.134037950167801682e+03
1.374500000000000171e+02,3.179532077700000059e+02,-2.048325497833333453e-01,-5.478307179411764594e+00,1.873236827411533856e+00,8.169337008460697689e+03
1.375000000000000000e+02,2.951081448799999976e+02,1.264934794069999813e-01,-5.474340019485294029e+00,1.876380694988999398e+00,8.155649320339157384e+03
1.375500000000000114e+02,3.148616085099999964e+02,-1.104249541413333396e-01,-5.474608120588235316e+00,1.882758136313151809e+00,8.128023799037373465e+03
1.375999999999999943e+02,3.372225446799999986e+02,2.633405296800000461e-01,-5.474627056617647369e+00,1.898177947469414262e+00,8.061995957853225264e+03
1.376500000000000057e+02,3.445711805099999765e+02,-1.826261357536999863e-01,-5.475058065073529434e+00,1.900026327607371890e+00,8.054153101686301852e+03
1.377000000000000171e+02,3.311527715299999954e+02,3.221388586233333018e-01,-5.474612984926470638e+00,1.906381453947673332e+00,8.027303721453739854e+03
1.377500000000000000e+02,3.310194111299999804e+02,-9.074288447033333760e-02,-5.476438663602941403e+00,1.897763634961795898e+00,8.063756022015153576e+03
1.378000000000000114e+02,3.219621356399999854e+02,-1.111536314160000011e-01,-5.476997638602941088e+00,1.889522815546533119e+00,8.098924667050509925e+03
1.378499999999999943e+02,3.258720638899999926e+02,-2.033286015383333201e-01,-5.478956183088235399e+00,1.879842008806656972e+00,8.140632493631268517e+03
1.379000000000000057e+02,3.169183509299999741e+02,3.261717132693333077e-01,-5.479540433823529177e+00,1.878273465938303799e+00,8.147430721510929288e+03
1.379500000000000171e+02,3.070155122499999720e+02,-1.563950547793333257e-01,-5.479467633823529304e+00,1.865680855768812041e+00,8.202422666484631918e+03
1.380000000000000000e+02,3.292299623600000018e+02,1.737331372700000320e-01,-5.482315313602941664e+00,1.860840577958866149e+00,8.223758188125035304e+03
1.380500000000000114e+02,3.233173503599999776e+02,-4.456832856800000547e-02,-5.481767353308823587e+00,1.853883800569869233e+00,8.254618188626760457e+03
1.380999999999999943e+02,2.962533349899999848e+02,5.324881563500000886e-02,-5.478259536397058760e+00,1.849307664482499058e+00,8.275044349673904435e+03
