lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
1.310000000000000142e+01,1.556821793683908828e+00,2.153366877840507676e-01,4.753159340360599838e-01,1.697221734237797375e-01
1.320000000000000107e+01,1.562541282414820154e+00,2.148064811904499272e-01,4.747001654609390164e-01,1.703433421225652167e-01
1.330000000000000071e+01,1.566291111361813426e+00,2.146792469923342050e-01,4.751730624200011799e-01,1.712013830985464613e-01
1.340000000000000036e+01,1.574231924255056869e+00,2.149286652894626670e-01,4.753228613186258333e-01,1.707039211014952929e-01
1.350000000000000000e+01,1.580058958164408223e+00,2.157321714809817825e-01,4.762688303297126780e-01,1.711184783881271598e-01
1.360000000000000142e+01,1.590141139004465298e+00,2.172104890703129010e-01,4.796120187636084831e-01,1.724823084895627245e-01
1.370000000000000107e+01,1.599515229788703641e+00,2.184915784370998759e-01,4.808081191310321634e-01,1.729022885627445327e-01
1.380000000000000071e+01,1.606352088714084747e+00,2.194289401814467910e-01,4.817000480397948814e-01,1.731565715307543940e-01
1.390000000000000036e+01,1.615110294547681180e+00,2.204712290648703776e-01,4.830814282603425602e-01,1.724916561229084266e-01
1.400000000000000000e+01,1.616594828880210999e+00,2.206951970241974037e-01,4.832436502724600236e-01,1.719274625045935645e-01
1.410000000000000142e+01,1.619113890847080128e+00,2.195458470578893762e-01,4.830426599366428042e-01,1.707187253858375164e-01
1.420000000000000107e+01,1.625977725630121551e+00,2.194705745904510785e-01,4.828153937607592150e-01,1.709838361295261122e-01
1.430000000000000071e+01,1.630313030834083410e+00,2.190401563004766849e-01,4.823747209888756271e-01,1.695800264670463964e-01
1.440000000000000036e+01,1.634323452266248422e+00,2.190456880931779815e-01,4.826497856098854178e-01,1.714731343429202193e-01
1.450000000000000000e+01,1.641874003028452211e+00,2.202282874120657374e-01,4.846385835684217103e-01,1.737612948985982064e-01
1.460000000000000142e+01,1.647208681994788870e+00,2.211947238706272745e-01,4.863220980982017605e-01,1.744241581031030497e-01
1.470000000000000107e+01,1.648701400802413453e+00,2.218952693565338918e-01,4.873176988911184782e-01,1.740636726124077938e-01
1.480000000000000071e+01,1.651815919650792663e+00,2.225125154899707525e-01,4.886746078690839545e-01,1.736266241478674754e-01
1.490000000000000036e+01,1.657838246170888041e+00,2.232469373456648642e-01,4.908337860997517565e-01,1.752235466159304811e-01
1.500000000000000000e+01,1.663708719570452965e+00,2.234428423422119003e-01,4.927325570679113587e-01,1.761241409975060901e-01
1.510000000000000142e+01,1.667247932009693567e+00,2.236209475316032758e-01,4.939221439595530838e-01,1.751350784266055560e-01
1.520000000000000107e+01,1.672946707560561519e+00,2.234446243872941495e-01,4.943505659448805267e-01,1.747395805357352672e-01
1.530000000000000071e+01,1.672927835434631083e+00,2.233158936246958659e-01,4.941817297019810984e-01,1.750638338378412151e-01
1.540000000000000036e+01,1.674090971430086228e+00,2.226235825313344907e-01,4.934861814582258699e-01,1.746706667062488949e-01
1.550000000000000000e+01,1.673985153249542668e+00,2.222200860969822944e-01,4.935078855193869574e-01,1.739626529027427648e-01
1.560000000000000142e+01,1.678751345166253461e+00,2.222150583202905094e-01,4.942820004295902514e-01,1.738349868310910817e-01
1.570000000000000107e+01,1.682067694714875383e+00,2.226307048501601216e-01,4.942972458563918980e-01,1.728940930378775609e-01
1.580000000000000071e+01,1.686243239837744046e+00,2.237720195080525054e-01,4.959737351524005633e-01,1.749221928306208262e-01
1.590000000000000036e+01,1.688201662003792292e+00,2.252702539153941808e-01,4.975056401647591775e-01,1.752938825588098992e-01
1.600000000000000000e+01,1.693577401492996959e+00,2.264458741061548819e-01,4.982472062291259385e-01,1.757484090371585206e-01
1.610000000000000142e+01,1.696617160912290645e+00,2.262070494965203182e-01,4.968945154327347735e-01,1.755074471213411980e-01
1.619999999999999929e+01,1.699403758576629064e+00,2.255937916949923572e-01,4.956713569678921627e-01,1.754706441194456568e-01
1.630000000000000071e+01,1.707538814594272703e+00,2.245589243690856440e-01,4.951541323927674543e-01,1.756014410600638675e-01
1.640000000000000213e+01,1.711980526420756377e+00,2.238035937363533623e-01,4.956613233614467484e-01,1.731283829633427640e-01
1.650000000000000000e+01,1.716389854244685154e+00,2.242961163520137691e-01,4.971241553710557537e-01,1.737929580446822830e-01
1.660000000000000142e+01,1.723261923027955111e+00,2.254366948405434612e-01,4.988923560664483836e-01,1.748133529593772217e-01
1.669999999999999929e+01,1.728701875383170661e+00,2.260745275926567821e-01,4.999654007561710189e-01,1.748779068015976212e-01
1.680000000000000071e+01,1.733567411711876893e+00,2.265471728774018922e-01,5.001743787607213498e-01,1.762311627519881629e-01
1.690000000000000213e+01,1.735094776637652325e+00,2.267199319316371142e-01,5.006889003716472608e-01,1.763302814709874211e-01
1.700000000000000000e+01,1.739071623484853113e+00,2.270718312808027994e-01,5.019482377740098755e-01,1.790699690386718390e-01
1.710000000000000142e+01,1.740713069866984153e+00,2.276527499801195009e-01,5.026744953875857957e-01,1.794588223969299789e-01
1.719999999999999929e+01,1.744639232974911192e+00,2.277493095087482211e-01,5.012791435912230531e-01,1.792564607309764246e-01
1.730000000000000071e+01,1.746286743528554952e+00,2.274985554805994681e-01,4.998364137132594864e-01,1.778931044135000916e-01
1.740000000000000213e+01,1.749926683757754287e+00,2.278394750042372352e-01,5.001757411561097433e-01,1.783204525139029939e-01
1.750000000000000000e+01,1.756842074220555716e+00,2.287887291860404293e-01,5.019922674790758821e-01,1.780007743074702442e-01
1.760000000000000142e+01,1.760031333320393854e+00,2.291749874379130636e-01,5.047178366430724594e-01,1.767250849864896722e-01
1.769999999999999929e+01,1.766638179707837653e+00,2.311937569777245682e-01,5.090651087483136772e-01,1.786768660095072736e-01
1.780000000000000071e+01,1.774122165841286458e+00,2.341187859200853649e-01,5.139823851312854686e-01,1.803810005940685579e-01
1.790000000000000213e+01,1.778563634685685235e+00,2.362254431463730875e-01,5.177290847036443155e-01,1.824947753255467819e-01
1.800000000000000000e+01,1.782076584837124278e+00,2.373608231838065796e-01,5.198725787248081875e-01,1.842780485056520201e-01
1.810000000000000142e+01,1.781860644966516194e+00,2.379274148933069877e-01,5.197410127488546472e-01,1.827447278720605583e-01
