elapsed_ps,pair76_108_A,minimum_all_NN_A
1.090000000000000080e+00,1.223642084827754717e+00,1.223642084827754717e+00
1.100000000000000089e+00,1.349645486210705903e+00,1.349645486210705903e+00
1.110000000000000098e+00,1.307333599889521691e+00,1.307333599889521691e+00
1.120000000000000107e+00,1.324039674156102686e+00,1.324039674156102686e+00
1.129999999999999893e+00,1.251411220329717189e+00,1.251411220329717189e+00
1.139999999999999902e+00,1.295594407786057056e+00,1.295594407786057056e+00
1.149999999999999911e+00,1.325356900188878084e+00,1.325356900188878084e+00
1.159999999999999920e+00,1.278078578841385538e+00,1.278078578841385538e+00
1.169999999999999929e+00,1.325510005458276686e+00,1.325510005458276686e+00
1.179999999999999938e+00,1.276615123798607421e+00,1.276615123798607421e+00
1.189999999999999947e+00,1.319841743156767722e+00,1.319841743156767722e+00
1.199999999999999956e+00,1.250316652947356832e+00,1.250316652947356832e+00
1.209999999999999964e+00,1.303682731064263134e+00,1.303682731064263134e+00
1.219999999999999973e+00,1.281194365900376830e+00,1.281194365900376830e+00
1.229999999999999982e+00,1.307714070380461724e+00,1.307714070380461724e+00
1.239999999999999991e+00,1.314676371840376445e+00,1.314676371840376445e+00
1.250000000000000000e+00,1.341435167138194107e+00,1.341435167138194107e+00
1.260000000000000009e+00,1.295222897400117867e+00,1.295222897400117867e+00
1.270000000000000018e+00,1.297557484705022413e+00,1.297557484705022413e+00
1.280000000000000027e+00,1.286924016479771060e+00,1.286924016479771060e+00
1.290000000000000036e+00,1.307972923446309554e+00,1.307972923446309554e+00
1.300000000000000044e+00,1.332742134810380286e+00,1.332742134810380286e+00
1.310000000000000053e+00,1.295797949088833612e+00,1.295797949088833612e+00
1.320000000000000062e+00,1.303429040880657475e+00,1.303429040880657475e+00
1.330000000000000071e+00,1.266019587340813546e+00,1.266019587340813546e+00
1.340000000000000080e+00,1.334842579496516857e+00,1.334842579496516857e+00
1.350000000000000089e+00,1.347897008935616592e+00,1.347897008935616592e+00
