stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.365000000000000213e+01,1.402889102324401733e+02,1.444412444789023731e+01,1.332811594105402087e+01,3.512655394188809055e+01
1.369999999999999929e+01,1.434584805805779411e+02,1.469375612844543788e+01,1.380484861876212932e+01,3.527907579611579791e+01
1.375000000000000000e+01,1.455963057190843131e+02,1.494319744240770831e+01,1.410240160709309798e+01,3.484697752555356232e+01
1.380000000000000071e+01,1.467917440480680114e+02,1.473024528706166159e+01,1.399984937638133609e+01,3.479265762927542482e+01
1.385000000000000142e+01,1.467854517029344947e+02,1.443268301399699460e+01,1.424356213209446764e+01,3.454571740979844918e+01
1.390000000000000213e+01,1.473609142749722309e+02,1.444480435479317748e+01,1.395671340837143326e+01,3.432718227174691350e+01
1.394999999999999929e+01,1.472836238125523209e+02,1.433155153930758452e+01,1.378858716983361887e+01,3.441560830768788293e+01
1.400000000000000000e+01,1.487281515544165416e+02,1.409137124659022966e+01,1.327498825447234054e+01,3.433867887212440451e+01
1.405000000000000071e+01,1.477554076320799368e+02,1.400897966049636345e+01,1.323190718812663924e+01,3.430828406676984343e+01
1.410000000000000142e+01,1.495737873398707904e+02,1.410130818718051238e+01,1.324903313855588038e+01,3.425567715106731015e+01
1.415000000000000213e+01,1.484122255997015714e+02,1.403230383477221999e+01,1.322778283311623149e+01,3.427421747034832578e+01
1.419999999999999929e+01,1.489549985092221789e+02,1.390549834093565984e+01,1.333645442518028723e+01,3.425918391516232475e+01
1.425000000000000000e+01,1.497271995290946904e+02,1.354857543477574033e+01,1.291928228888633789e+01,3.450301559121822237e+01
1.430000000000000071e+01,1.484773707297944725e+02,1.326676830869849688e+01,1.326069131959881808e+01,3.429027347801416425e+01
1.435000000000000142e+01,1.491274868924755310e+02,1.307395635537206857e+01,1.305791051476713882e+01,3.424771955138417923e+01
1.440000000000000213e+01,1.472799120751571706e+02,1.305859536536512699e+01,1.332492985681311382e+01,3.399050087677922960e+01
1.444999999999999929e+01,1.460536873822165660e+02,1.281412264847571691e+01,1.244679843895177562e+01,3.393720030001836108e+01
1.450000000000000000e+01,1.462726688847893968e+02,1.288068419627132322e+01,1.336674969669471658e+01,3.382314112570406905e+01
1.455000000000000071e+01,1.461657021441963025e+02,1.306857663487417831e+01,1.271535574762486043e+01,3.377027226661250836e+01
1.460000000000000142e+01,1.484232040686567586e+02,1.312711500574621937e+01,1.212960798524916584e+01,3.398804341698647136e+01
1.465000000000000213e+01,1.472306635369216679e+02,1.287176388853764486e+01,1.171843102285251881e+01,3.407867496424494647e+01
