lag_ps,Li_A2,P_A2,O_A2,N_A2
1.769999999999999929e+01,2.557078832706490612e+00,1.503179456487461207e-01,5.193575219415705879e-01,5.389968435751254505e-01
1.780000000000000071e+01,2.569088630687739627e+00,1.511261554924971939e-01,5.213012367597478214e-01,5.396340136542504551e-01
1.790000000000000213e+01,2.579922380054267883e+00,1.513132624738712795e-01,5.226389450688195826e-01,5.397584254048479746e-01
1.800000000000000000e+01,2.590912798601585632e+00,1.520778581369466309e-01,5.240804843024524651e-01,5.413882187098688625e-01
1.810000000000000142e+01,2.602440212413053011e+00,1.518151576887464826e-01,5.245785848225030801e-01,5.420651936290725725e-01
1.819999999999999929e+01,2.613066273481054580e+00,1.516318739675939498e-01,5.252645216718637711e-01,5.425648820611594925e-01
1.830000000000000071e+01,2.623835563963371253e+00,1.520744031777927496e-01,5.263425134595008936e-01,5.448004689581954496e-01
1.840000000000000213e+01,2.633946366595966815e+00,1.523915014778893517e-01,5.281295742712117658e-01,5.445073527653890855e-01
1.850000000000000000e+01,2.644814246990185413e+00,1.530753222254629398e-01,5.299503500148229351e-01,5.447176076229763853e-01
1.860000000000000142e+01,2.656323994077703698e+00,1.530261437272890934e-01,5.304270743972516744e-01,5.459859560568248726e-01
1.869999999999999929e+01,2.667904201788401153e+00,1.529114901258776249e-01,5.318636062997516012e-01,5.469242814618010540e-01
1.880000000000000071e+01,2.678954723372414026e+00,1.530130184583107233e-01,5.328211298797939088e-01,5.472937984266496025e-01
1.890000000000000213e+01,2.689039870379410058e+00,1.536900469691833970e-01,5.346757627739943119e-01,5.467082378840398826e-01
1.900000000000000000e+01,2.699981128153968069e+00,1.539094432431122039e-01,5.362833591231774832e-01,5.475036376586628339e-01
1.910000000000000142e+01,2.710439690220654008e+00,1.541554693845580692e-01,5.378379933274765046e-01,5.480682215465402241e-01
1.920000000000000284e+01,2.720055082625724374e+00,1.541594581032217914e-01,5.391467795789672834e-01,5.501015439933046869e-01
1.930000000000000071e+01,2.731116556332249701e+00,1.544318809883357679e-01,5.408092122483300068e-01,5.513415241834962455e-01
1.940000000000000213e+01,2.740901902505526788e+00,1.544012526346281722e-01,5.418979203535905231e-01,5.519290885653026502e-01
1.950000000000000000e+01,2.753308909706014163e+00,1.550637025546460768e-01,5.430374039974511513e-01,5.520839717799284063e-01
1.960000000000000142e+01,2.762464564476609485e+00,1.551835599322703152e-01,5.435803524521162222e-01,5.489756181548671732e-01
1.970000000000000284e+01,2.774548970140819915e+00,1.556567016085229904e-01,5.455423126703166092e-01,5.507465528957345979e-01
1.980000000000000071e+01,2.784630089158194988e+00,1.551013805400134338e-01,5.460317021470647569e-01,5.497487945049501779e-01
1.990000000000000213e+01,2.796619157410725087e+00,1.551474033511765771e-01,5.470348552291588451e-01,5.502536797986060657e-01
2.000000000000000000e+01,2.806741831153170441e+00,1.557504244079295219e-01,5.480763995786762655e-01,5.519857113503296997e-01
2.010000000000000142e+01,2.818118114127083462e+00,1.556983120270947485e-01,5.490676421884441716e-01,5.525316320543882664e-01
2.020000000000000284e+01,2.827580974537863501e+00,1.555671188862075838e-01,5.485071518743014352e-01,5.514529375251043808e-01
2.030000000000000071e+01,2.838411620158388882e+00,1.555217764037122863e-01,5.486352240615256504e-01,5.510602723709469020e-01
2.040000000000000213e+01,2.847348404932345201e+00,1.552377935212722881e-01,5.499729716905664700e-01,5.491238794100153919e-01
2.050000000000000000e+01,2.859333039886481576e+00,1.552838633118295286e-01,5.517469134678849585e-01,5.487700725539991220e-01
2.060000000000000142e+01,2.870107447884662655e+00,1.558614223019128553e-01,5.529231775265834870e-01,5.495401294675581472e-01
2.070000000000000284e+01,2.881490516464574547e+00,1.558507141976936128e-01,5.540035511587058092e-01,5.499365222620197224e-01
2.080000000000000071e+01,2.890250660780691039e+00,1.561017388241810744e-01,5.551132715752804536e-01,5.502335680315189048e-01
2.090000000000000213e+01,2.900084627863204201e+00,1.562998488094698712e-01,5.563634522510141345e-01,5.491829730244560670e-01
2.100000000000000000e+01,2.912116713749470787e+00,1.566545356982479986e-01,5.570449800019939834e-01,5.490631352310986202e-01
2.110000000000000142e+01,2.922224534198908596e+00,1.565640824392734165e-01,5.578008275209607181e-01,5.511945223638380353e-01
2.120000000000000284e+01,2.931721770180493625e+00,1.560390999387304134e-01,5.579587664706916472e-01,5.497597692330644659e-01
2.130000000000000071e+01,2.942852709123628951e+00,1.565911816414710112e-01,5.597699806590142879e-01,5.503005112742108684e-01
2.140000000000000213e+01,2.951857969486291644e+00,1.564800961372737331e-01,5.594883488595960852e-01,5.518204901347162350e-01
2.150000000000000000e+01,2.961776932196595880e+00,1.564317296455544071e-01,5.600386194696379549e-01,5.517035834245382908e-01
2.160000000000000142e+01,2.971929521753517545e+00,1.565718894865023025e-01,5.602731809462488943e-01,5.533719337447730036e-01
2.170000000000000284e+01,2.983094521650912601e+00,1.571139045861475736e-01,5.621200280712742581e-01,5.528482806723392651e-01
2.180000000000000071e+01,2.993759200341906901e+00,1.571006939184401152e-01,5.628282874057940477e-01,5.534547403260136056e-01
2.190000000000000213e+01,3.004540067668821646e+00,1.569006619098641531e-01,5.638440573952905321e-01,5.544064474406090737e-01
2.200000000000000000e+01,3.015160246863695104e+00,1.572574891386344376e-01,5.653943592821094599e-01,5.541389502732498862e-01
