lag_ps,Zr_A2,O_A2,Cl_A2
3.700000000000000178e+00,1.880068600382959199e-01,1.710198981767888093e-01,4.122346990911220921e-01
3.800000000000000266e+00,1.904612004952330462e-01,1.725129489273298788e-01,4.161308141510652314e-01
3.900000000000000355e+00,1.915061346585687774e-01,1.729488212923336043e-01,4.191176677135016182e-01
4.000000000000000000e+00,1.919546134548360816e-01,1.751032985907970407e-01,4.215508910975777623e-01
4.100000000000000533e+00,1.924829699471770350e-01,1.741025327518938015e-01,4.244542338795346259e-01
4.200000000000000178e+00,1.928825114738282331e-01,1.722649830290817197e-01,4.271217373509103576e-01
4.299999999999999822e+00,1.924413802467301593e-01,1.714834201078611342e-01,4.300209371761364308e-01
4.400000000000000355e+00,1.917066645621653687e-01,1.703513215491611610e-01,4.323114634811779933e-01
4.500000000000000000e+00,1.913458620957182166e-01,1.707349694257792871e-01,4.344141281721876080e-01
4.600000000000000533e+00,1.913208641502472662e-01,1.692839290400506291e-01,4.357818551738164015e-01
4.700000000000000178e+00,1.916206594349288417e-01,1.690920227893166483e-01,4.369906388187105861e-01
4.800000000000000711e+00,1.927880278333934938e-01,1.712435680789828329e-01,4.385011419240211761e-01
4.900000000000000355e+00,1.938149810893173286e-01,1.723564858265233535e-01,4.408083846144824069e-01
5.000000000000000000e+00,1.951440789280001753e-01,1.725663725049106090e-01,4.442247032051724331e-01
5.100000000000000533e+00,1.960048310764139212e-01,1.729282191241608424e-01,4.450988687061989135e-01
5.200000000000000178e+00,1.964595827007455386e-01,1.746632312902637041e-01,4.454187038387876774e-01
5.300000000000000711e+00,1.967125805569729935e-01,1.756502856810754631e-01,4.463586390737557807e-01
5.400000000000000355e+00,1.977988010277275110e-01,1.763501746616406018e-01,4.481348014682276504e-01
5.500000000000000000e+00,2.000978009091080867e-01,1.783025464841788976e-01,4.518104600257442094e-01
5.600000000000000533e+00,2.026337655586146203e-01,1.803128329633467142e-01,4.567550899589418734e-01
5.700000000000000178e+00,2.047086214231635948e-01,1.809152780484220291e-01,4.606528035782470609e-01
5.800000000000000711e+00,2.060197744826854360e-01,1.815357001648592594e-01,4.625281439996703492e-01
5.900000000000000355e+00,2.070576776450598344e-01,1.828012730588876311e-01,4.642954816617264058e-01
6.000000000000000000e+00,2.076338488167684682e-01,1.835191728269866540e-01,4.664577153543120192e-01
6.100000000000000533e+00,2.077538402198139400e-01,1.833719125015258189e-01,4.670357656492798437e-01
6.200000000000000178e+00,2.068046483656955092e-01,1.813875845904737993e-01,4.666464972336803463e-01
6.300000000000000711e+00,2.043692764002262852e-01,1.770457701345121149e-01,4.646731308233177371e-01
6.400000000000000355e+00,2.014031626490342675e-01,1.764419250952659612e-01,4.623486712074025839e-01
6.500000000000000000e+00,1.993536307659390383e-01,1.749087785298525932e-01,4.601769262453918596e-01
6.600000000000000533e+00,1.988573650829127404e-01,1.743852946306566065e-01,4.608286830719908189e-01
6.700000000000000178e+00,1.989919995383426787e-01,1.752152602639263645e-01,4.623929016776104350e-01
6.800000000000000711e+00,1.998540519541902871e-01,1.760764367817202747e-01,4.649744375437757649e-01
6.900000000000000355e+00,2.009574097009148297e-01,1.762232689030806543e-01,4.679060398130885923e-01
7.000000000000000000e+00,2.031320574779688082e-01,1.785296568974232001e-01,4.712764430381015113e-01
7.100000000000000533e+00,2.060757798532648621e-01,1.798659320472511813e-01,4.754089949537447235e-01
7.200000000000000178e+00,2.085578266993351193e-01,1.820636539409563048e-01,4.794888654373616332e-01
7.300000000000000711e+00,2.109716162347503865e-01,1.841403539776231557e-01,4.832159489856630574e-01
7.400000000000000355e+00,2.122002891697638838e-01,1.830370587595399057e-01,4.863809097576540785e-01
