time_ps,density_g_cm3,CN_ZrO_2.6A,CN_ZrCl_3.2A,fraction_S_fourO_2A
1.900000000000000000e+01,1.875733542459213643e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.910000000000000142e+01,1.871385383174313244e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.920000000000000284e+01,1.855595942204377291e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.930000000000000071e+01,1.843254465825815203e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.940000000000000213e+01,1.803760493799870579e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.950000000000000000e+01,1.756663328486269826e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.960000000000000142e+01,1.747370009268433888e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.970000000000000284e+01,1.775648029227409053e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.980000000000000071e+01,1.814754873383386702e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.990000000000000213e+01,1.818972391123902632e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.817058331565694296e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
