lag_ps,Li_A2,P_A2,O_A2,N_A2
2.050000000000000000e+01,2.737073086890540630e+00,1.454582021716874785e-01,4.769720343692736009e-01,4.353832175197482335e-01
2.060000000000000142e+01,2.749482506812265914e+00,1.452997679348733973e-01,4.774889309500355283e-01,4.351657947013033989e-01
2.070000000000000284e+01,2.761137553382934762e+00,1.459427969333289554e-01,4.788869348056571384e-01,4.370396919138837544e-01
2.080000000000000071e+01,2.772865942000625417e+00,1.460442106374787996e-01,4.800085059720431424e-01,4.371243330937575888e-01
2.090000000000000213e+01,2.784185655247195523e+00,1.460089389156969120e-01,4.808485819285795437e-01,4.390454582387949278e-01
2.100000000000000000e+01,2.794946619634849139e+00,1.462742178623639699e-01,4.820293536645709476e-01,4.389880294833732877e-01
2.110000000000000142e+01,2.806616689680089483e+00,1.467076177559043515e-01,4.830736486852423295e-01,4.415306642659974634e-01
2.120000000000000284e+01,2.818144447345284576e+00,1.467932849287006403e-01,4.843049351533441071e-01,4.427661171893269021e-01
2.130000000000000071e+01,2.829816437281379660e+00,1.469459371498547107e-01,4.844717043909350096e-01,4.440343080791149255e-01
2.140000000000000213e+01,2.841834418050543931e+00,1.468092379822504567e-01,4.852521601400151541e-01,4.448955354672922136e-01
2.150000000000000000e+01,2.852764523503482863e+00,1.471455639423816797e-01,4.860500578677027783e-01,4.440385205401578550e-01
2.160000000000000142e+01,2.863462976296104134e+00,1.469687715861998090e-01,4.864533080543365084e-01,4.457150217118283075e-01
2.170000000000000284e+01,2.874400777364972903e+00,1.470331079786589001e-01,4.867734802605839239e-01,4.468055742022041810e-01
2.180000000000000071e+01,2.885084928948990157e+00,1.477181330447590035e-01,4.882173588010279563e-01,4.470446580601885045e-01
2.190000000000000213e+01,2.895901940091899274e+00,1.481061020228950365e-01,4.892827504419483553e-01,4.471253788983842736e-01
2.200000000000000000e+01,2.907357353445061854e+00,1.480394709468268455e-01,4.898785887289439089e-01,4.475465178762405571e-01
2.210000000000000142e+01,2.918255656257930930e+00,1.483565053522603039e-01,4.908791180347904515e-01,4.500181855131040742e-01
