lag_ps,Li_A2,P_A2,S_A2
2.640000000000000213e+01,1.620270930908876084e+00,1.623636770649692918e-01,2.869247830908647767e-01
2.650000000000000000e+01,1.624023257816794130e+00,1.626536617355070491e-01,2.875666754425716953e-01
2.660000000000000142e+01,1.626393508218983763e+00,1.626529202381064299e-01,2.875632609219282987e-01
2.670000000000000284e+01,1.628669926578417915e+00,1.618392478551489710e-01,2.866378018737149036e-01
2.680000000000000071e+01,1.631054244262029496e+00,1.611124348848936016e-01,2.857682126006004242e-01
2.690000000000000213e+01,1.633377941607792261e+00,1.608059764852610429e-01,2.859624823102606683e-01
2.700000000000000000e+01,1.636207106187319571e+00,1.612807872165423762e-01,2.867110501745764872e-01
2.710000000000000142e+01,1.639709132078176923e+00,1.618867253643352100e-01,2.868393196343512752e-01
2.720000000000000284e+01,1.641265937027709620e+00,1.624253234777409682e-01,2.875359692012084412e-01
2.730000000000000071e+01,1.645231002296674072e+00,1.632580546520719655e-01,2.886303770257691581e-01
2.740000000000000213e+01,1.648484705299560149e+00,1.633777600421008336e-01,2.888431731297327887e-01
2.750000000000000000e+01,1.651354514616002023e+00,1.628969740129120047e-01,2.880222261723149324e-01
2.760000000000000142e+01,1.654451361758248362e+00,1.627379208480516370e-01,2.878254514570476874e-01
2.770000000000000284e+01,1.657619123668288230e+00,1.627482087348087192e-01,2.881684192807275613e-01
2.780000000000000071e+01,1.659987870404701304e+00,1.628559952920138609e-01,2.884313921513550483e-01
2.790000000000000213e+01,1.662800030469838486e+00,1.624726369889809563e-01,2.880559975625943125e-01
2.800000000000000000e+01,1.666529820176499976e+00,1.619203203149529313e-01,2.877139512147624534e-01
2.810000000000000142e+01,1.669410801423617086e+00,1.618919721629437092e-01,2.876082209124556921e-01
2.820000000000000284e+01,1.673131368475004876e+00,1.622119521407235643e-01,2.883013639563111741e-01
2.830000000000000071e+01,1.677521933055697856e+00,1.635592570139438873e-01,2.898293173990267313e-01
2.840000000000000213e+01,1.680252229035080980e+00,1.639678515157145244e-01,2.904223392404143844e-01
2.850000000000000000e+01,1.683250295968428567e+00,1.643092446349933566e-01,2.902690426917018951e-01
2.860000000000000142e+01,1.686595279439455419e+00,1.646972206570335162e-01,2.906529674815195863e-01
2.870000000000000284e+01,1.689243237221086158e+00,1.646112119201048607e-01,2.910298824475110457e-01
2.880000000000000071e+01,1.691544107349398418e+00,1.641525377148758957e-01,2.904511700381962602e-01
