r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
4.125000000000000000e+00,6.016658295663841749e-03,4.895993507602956069e-02,8.970059617745078373e-02,1.639184987785926306e-01
4.175000000000000711e+00,4.237820190858879697e-03,4.725140953357269413e-02,8.816631597404905873e-02,1.592688207861431282e-01
4.224999999999999645e+00,4.708689100954311160e-03,4.933367503844200003e-02,8.811152025249899267e-02,1.570480790584060649e-01
4.275000000000000355e+00,4.447095262012405563e-03,4.281992140782519413e-02,8.224837804664240914e-02,1.496224739062852194e-01
4.325000000000000178e+00,4.080863887493664174e-03,3.950965316931431826e-02,8.153603366649016249e-02,1.528147901399045661e-01
4.375000000000000000e+00,3.034488531726111608e-03,4.036391594054345583e-02,7.348106259863255996e-02,1.551743282256279055e-01
4.425000000000000711e+00,3.348401138456399105e-03,3.593242781479595582e-02,7.150841662283033418e-02,1.548273373306690015e-01
4.474999999999999645e+00,2.458982086053918079e-03,3.497138219716397489e-02,7.107005085042984727e-02,1.439318232289589772e-01
4.525000000000000355e+00,2.249707014900393081e-03,3.331624807790888043e-02,6.580966158162393498e-02,1.492754830113263154e-01
4.575000000000000178e+00,2.929850996149297067e-03,2.909832564496797960e-02,6.241232684551901305e-02,1.447646013768578155e-01
4.625000000000000000e+00,1.935794408170105584e-03,3.037971980181114473e-02,6.109722952831864867e-02,1.449033977348439528e-01
4.675000000000000711e+00,1.569563033651437053e-03,2.957884845378449049e-02,6.159039102226920165e-02,1.377553852986902472e-01
4.724999999999999645e+00,1.307969194709530806e-03,2.541431744404588217e-02,5.643959319656341456e-02,1.369226071507888554e-01
4.775000000000000355e+00,1.360287962497887986e-03,2.584144882965963563e-02,5.391899000525961910e-02,1.414334887852522482e-01
4.825000000000001066e+00,1.412606730286293305e-03,2.434648898001033970e-02,4.904217078730509910e-02,1.333139018432161205e-01
4.875000000000000000e+00,1.412606730286293305e-03,2.301170339996591249e-02,5.074083815535700842e-02,1.338690872751503724e-01
4.925000000000000711e+00,1.307969194709530806e-03,1.922091235263974004e-02,4.997369805365615286e-02,1.307461692205200976e-01
4.974999999999999645e+00,1.412606730286293305e-03,1.804630104220064299e-02,4.509687883570066835e-02,1.326893182322900766e-01
5.025000000000000355e+00,9.417378201908454703e-04,1.676490688535769644e-02,4.361739435384823227e-02,1.273456584499204625e-01
5.075000000000001066e+00,8.371002846140997763e-04,1.916752092943796448e-02,4.367219007539906855e-02,1.279702420608487823e-01
5.125000000000000000e+00,8.894190524024809174e-04,1.628438407654200087e-02,4.372698579694912768e-02,1.226959804574732221e-01
5.175000000000000711e+00,5.755064456721936368e-04,1.559029557491890122e-02,3.994608100999488126e-02,1.203364423717525888e-01
5.224999999999999645e+00,7.324627490373373856e-04,1.446907568768158146e-02,3.961730668069451261e-02,1.184626915389744434e-01
5.275000000000000355e+00,5.755064456721833369e-04,1.494959849649731172e-02,3.665833771699053556e-02,1.155479680213174765e-01
5.325000000000001066e+00,4.185501423070498881e-04,1.233341875961050001e-02,3.682272488164137214e-02,1.142294026204756369e-01
5.375000000000000000e+00,4.708689100954311377e-04,1.115880744917140469e-02,3.293222865158700052e-02,1.079835665112151288e-01
5.425000000000000711e+00,5.755064456721936368e-04,1.356142149325137262e-02,3.369936875328786302e-02,1.132578281145906751e-01
5.474999999999999645e+00,3.139126067302873890e-04,9.663847599521647319e-03,3.211029282833607890e-02,1.115228736397960857e-01
5.525000000000000355e+00,4.708689100954227351e-04,1.126559029557475805e-02,2.942530247238253627e-02,1.082611592271803397e-01
5.575000000000001066e+00,4.708689100954311377e-04,9.930804715530532067e-03,3.046642118183423217e-02,1.066650011103712492e-01
5.625000000000000000e+00,3.662313745186686928e-04,8.862976251494991339e-03,2.816500087673164468e-02,1.030562958027985004e-01
5.675000000000000711e+00,2.615938389419061936e-04,1.019776183153941855e-02,2.695949500263028834e-02,1.033338885187656403e-01
5.724999999999999645e+00,2.092750711535249441e-04,9.396890483512762571e-03,2.460327897597764518e-02,9.771263602043117613e-02
5.775000000000000355e+00,1.569563033651409027e-04,8.008713480266415816e-03,2.378134315272629681e-02,9.667166333555270163e-02
5.825000000000001066e+00,3.662313745186686928e-04,8.329062019477220108e-03,2.317859021567604538e-02,1.004191650011107273e-01
5.875000000000000000e+00,2.615938389419061936e-04,6.834102169827463609e-03,2.328818165877616711e-02,9.937819231623397365e-02
5.925000000000000711e+00,3.139126067302873890e-04,6.994276439432793764e-03,2.164431001227432039e-02,1.000721741061518094e-01
5.974999999999999645e+00,2.092750711535249441e-04,5.712882282590145584e-03,2.027441697352277972e-02,9.465911614479270708e-02
6.025000000000000355e+00,2.092750711535212307e-04,6.033230821800700076e-03,2.054839558127272148e-02,9.445092160781566604e-02
6.075000000000001066e+00,1.569563033651436945e-04,4.912010934563489604e-03,2.021962125197271712e-02,9.583888518765301678e-02
6.125000000000000000e+00,2.615938389419061936e-04,6.406970784213246971e-03,1.874013677012105472e-02,9.007883633133498269e-02
6.175000000000000711e+00,5.231876778838123602e-05,4.538270972151050263e-03,1.863054532702093299e-02,9.063402176326926241e-02
6.224999999999999645e+00,0.000000000000000000e+00,6.300187937809692378e-03,1.698667368051908627e-02,8.980124361536784283e-02
