lag_ps,Li_A2,P_A2,S_A2
1.560000000000000142e+01,9.206467719636417968e+00,4.258366892996667818e-01,8.795260805984593810e-01
1.570000000000000107e+01,9.257873828001043748e+00,4.269601098850813736e-01,8.810782351511020627e-01
1.580000000000000071e+01,9.306740648095189528e+00,4.271941058685096437e-01,8.817494677583139762e-01
1.590000000000000036e+01,9.354704926584448188e+00,4.274103432882870313e-01,8.827104403750762884e-01
1.600000000000000000e+01,9.403195181894369981e+00,4.277665253334639317e-01,8.847401613081695704e-01
1.610000000000000142e+01,9.451975750616027128e+00,4.281779036687063944e-01,8.857492411411919120e-01
1.619999999999999929e+01,9.499426164609486634e+00,4.276840265676326580e-01,8.862544615863080510e-01
1.630000000000000071e+01,9.546007349984083845e+00,4.271449882126423514e-01,8.866584969531987603e-01
1.640000000000000213e+01,9.594274916087110583e+00,4.272436802410754519e-01,8.879610530744510566e-01
1.650000000000000000e+01,9.642283859981025884e+00,4.276831261032504328e-01,8.895191880863854150e-01
1.660000000000000142e+01,9.691857136667591632e+00,4.284421403996610533e-01,8.906054238846699000e-01
1.669999999999999929e+01,9.742088577312646436e+00,4.292377290673395906e-01,8.926427447105577118e-01
1.680000000000000071e+01,9.789721264910429710e+00,4.306184424107113995e-01,8.947680849513096613e-01
1.690000000000000213e+01,9.839986045959223659e+00,4.318600834157313439e-01,8.972675519717353554e-01
1.700000000000000000e+01,9.890610550074502072e+00,4.324899959828978346e-01,8.994792589193357779e-01
1.710000000000000142e+01,9.939442342920990825e+00,4.338623688397791889e-01,9.015995783647549056e-01
1.719999999999999929e+01,9.989763011276835414e+00,4.349668528074701612e-01,9.040338452661568214e-01
1.730000000000000071e+01,1.003836046797922421e+01,4.351259297956427408e-01,9.057096372999496880e-01
1.740000000000000213e+01,1.008473120154060609e+01,4.349750639212454084e-01,9.065305394267441086e-01
1.750000000000000000e+01,1.013237751327378611e+01,4.346560648493344448e-01,9.071757993505870088e-01
1.760000000000000142e+01,1.017997109931136634e+01,4.344918330658796846e-01,9.075514608588153287e-01
1.769999999999999929e+01,1.022732233368163079e+01,4.343767933160256334e-01,9.086412709707030189e-01
1.780000000000000071e+01,1.027667725802869825e+01,4.344608482468868549e-01,9.097330676948549577e-01
1.790000000000000213e+01,1.032559728191794690e+01,4.348611667403496917e-01,9.107621271827711640e-01
1.800000000000000000e+01,1.037243509927889740e+01,4.357831549249286951e-01,9.120074530811511648e-01
1.810000000000000142e+01,1.042141119899689272e+01,4.362878524536885627e-01,9.138697658221899278e-01
