lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
6.500000000000000000e+00,8.105951110156014439e-01,2.716276428411389943e-01,5.300750773468263510e-01,2.246437065873981564e-01,3.216170298083513290e-01
6.600000000000000533e+00,8.148482151224368808e-01,2.719924491546628076e-01,5.311748657959144415e-01,2.253180722976169115e-01,3.226487486933720117e-01
6.700000000000000178e+00,8.189268632222499456e-01,2.728842323459603758e-01,5.328256373594378870e-01,2.263520884587866544e-01,3.243609005792097433e-01
6.800000000000000711e+00,8.235742180166609749e-01,2.739342563008628217e-01,5.346887324754079351e-01,2.276269601074598914e-01,3.260724687198767735e-01
6.900000000000000355e+00,8.278749175003931038e-01,2.751962558920292290e-01,5.363708365698764968e-01,2.288074232908974825e-01,3.274358254212628161e-01
7.000000000000000000e+00,8.324714119791045697e-01,2.769466058136209607e-01,5.390980203706885465e-01,2.302460427308629098e-01,3.293344573882318604e-01
7.100000000000000533e+00,8.377423262207857046e-01,2.787353247705625647e-01,5.419563615504734422e-01,2.320482513019594961e-01,3.318813345061963904e-01
7.200000000000000178e+00,8.431614101385411786e-01,2.803678581474731701e-01,5.440507078590192114e-01,2.333845788043456548e-01,3.333352115721147091e-01
7.300000000000000711e+00,8.476283071476073960e-01,2.816156849179369259e-01,5.460294199264573711e-01,2.342707123851746065e-01,3.343214314805981191e-01
7.400000000000000355e+00,8.507414403086765997e-01,2.826872149723276828e-01,5.477691171755987298e-01,2.350429296450988748e-01,3.355944508668514126e-01
7.500000000000000000e+00,8.532799917172697590e-01,2.836796544349033944e-01,5.494774569518415808e-01,2.357938723612695020e-01,3.363781762514437834e-01
7.600000000000000533e+00,8.577824843240268171e-01,2.847382456812621587e-01,5.506014110967437647e-01,2.363458336452294029e-01,3.373710587822664753e-01
7.700000000000000178e+00,8.593135988716195106e-01,2.855772029052073280e-01,5.518106691111245299e-01,2.366870942065972816e-01,3.379777431459332626e-01
7.800000000000000711e+00,8.627979683277007261e-01,2.862139952885546235e-01,5.531781692436721354e-01,2.368796992445563188e-01,3.379379225364744777e-01
7.900000000000000355e+00,8.670685391410996035e-01,2.871949027205095706e-01,5.547535944465725732e-01,2.372356705828239376e-01,3.381218814306624076e-01
8.000000000000000000e+00,8.720973181746055625e-01,2.882253440978632120e-01,5.563622814207550560e-01,2.378100709131831803e-01,3.391660953835374803e-01
8.099999999999999645e+00,8.749173383785739944e-01,2.887567357117024613e-01,5.572138818512578640e-01,2.383892921413378330e-01,3.402486471001653356e-01
8.200000000000001066e+00,8.767465695657592484e-01,2.889441279146859332e-01,5.579214961746975510e-01,2.384736341314831198e-01,3.403239940498647975e-01
8.300000000000000711e+00,8.797587300987507186e-01,2.889295421772205552e-01,5.588410699729188247e-01,2.383095138113059397e-01,3.405820799459587933e-01
8.400000000000000355e+00,8.830036924650349617e-01,2.887774763623943697e-01,5.594596969544380904e-01,2.382514484354150142e-01,3.407782769200841111e-01
8.500000000000000000e+00,8.845309325138378531e-01,2.886559210092974892e-01,5.598550895744642819e-01,2.382899254292042412e-01,3.407662198130088638e-01
8.599999999999999645e+00,8.884482943769043128e-01,2.884656926057841408e-01,5.597455901698614733e-01,2.385786772921378585e-01,3.414367908642195748e-01
8.700000000000001066e+00,8.920100030649543710e-01,2.882817263608416503e-01,5.592465210744892445e-01,2.391416850719527698e-01,3.422505463882510868e-01
8.800000000000000711e+00,8.946852366850501781e-01,2.884637535108562911e-01,5.593817121233539691e-01,2.400775204662891071e-01,3.435916544895054603e-01
8.900000000000000355e+00,8.992126989374912283e-01,2.890154969527117257e-01,5.604971810865184700e-01,2.413192776431118958e-01,3.450125516482400179e-01
9.000000000000000000e+00,9.024766483718871246e-01,2.898733440790587368e-01,5.623710197141580380e-01,2.424457041071957919e-01,3.465996060715666460e-01
9.099999999999999645e+00,9.070592007445462679e-01,2.908562041808000487e-01,5.643610607614178987e-01,2.430853267301413823e-01,3.475547621348886729e-01
9.200000000000001066e+00,9.103363233145272959e-01,2.917509069662592713e-01,5.660530385777873263e-01,2.438145104500290816e-01,3.487806980980303617e-01
9.300000000000000711e+00,9.134692673847440991e-01,2.922827865072161191e-01,5.678044678571987358e-01,2.442396226477065169e-01,3.494238904977480242e-01
9.400000000000000355e+00,9.144640321290585794e-01,2.926940994377974503e-01,5.691504974366015102e-01,2.447950033887900390e-01,3.499269481862135045e-01
9.500000000000000000e+00,9.164579366292733287e-01,2.928062309024078713e-01,5.696120488788507519e-01,2.452053678268027448e-01,3.503726307869374779e-01
9.600000000000001421e+00,9.184767622693414957e-01,2.929019488134865234e-01,5.701296753905800152e-01,2.454917035867552888e-01,3.507746448219546953e-01
