time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
1.775000000000000000e+01,7.919300468400000454e+02,-4.398854045633333182e-02,-4.800229872552082888e+00,1.503413233883927891e+00
1.780000000000000071e+01,7.345056251500000144e+02,-1.344811340343333439e-01,-4.794321166979166549e+00,1.505069809616411902e+00
1.785000000000000142e+01,7.922235381599999755e+02,1.749803265100000060e-02,-4.798825510364583380e+00,1.510129651611348711e+00
1.790000000000000213e+01,7.751561386700000185e+02,-1.020922722263333388e-01,-4.790667930937499541e+00,1.514623226045978877e+00
1.794999999999999929e+01,7.760130322999999635e+02,5.073719732833333745e-02,-4.784068845260416758e+00,1.521552007430741593e+00
1.800000000000000000e+01,8.399586405300000251e+02,5.531444393500000167e-01,-4.787357911249999987e+00,1.526844312208872845e+00
1.805000000000000071e+01,8.174489902799999754e+02,-1.358864659666666509e-02,-4.783836562500000333e+00,1.517096026207439108e+00
1.810000000000000142e+01,8.913089988200000562e+02,-2.463447040400000010e-01,-4.794620256979166939e+00,1.504685420766510795e+00
1.815000000000000213e+01,8.073652075999999624e+02,-1.314726874456666750e-01,-4.787009217552083307e+00,1.499789039556989945e+00
1.819999999999999929e+01,8.343042644800000289e+02,-2.366967270033333293e-01,-4.792660496875000398e+00,1.501687274531445793e+00
1.825000000000000000e+01,7.952463910300000407e+02,-3.637063867000000367e-02,-4.789211284166666083e+00,1.508336892786292349e+00
1.830000000000000071e+01,8.494982175500000494e+02,-3.501976591333333388e-01,-4.797336483177082833e+00,1.516693864939308911e+00
1.835000000000000142e+01,7.909452718200000163e+02,-2.681498361496666427e-01,-4.791727498437500010e+00,1.536634646284899652e+00
1.840000000000000213e+01,8.181030450499999915e+02,2.930573772800000310e-01,-4.795724239843750070e+00,1.567479091444583528e+00
1.844999999999999929e+01,7.969237892899999451e+02,-1.510677870353333008e-02,-4.791151654427083351e+00,1.592106922227615184e+00
1.850000000000000000e+01,7.955170160100000203e+02,2.601800515199999553e-01,-4.789339095677083158e+00,1.613701342775269332e+00
1.855000000000000071e+01,7.916636969300000146e+02,1.142148007533333315e-01,-4.786654919739583569e+00,1.630018995712980256e+00
