lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
8.000000000000000000e+00,1.385965275108709527e+01,1.930028600469285038e+00,1.338054363977639216e+00,4.756079864903393073e+00
8.099999999999999645e+00,1.400446204208867762e+01,1.943890325512709127e+00,1.349027486498619144e+00,4.790539473918373758e+00
8.199999999999999289e+00,1.414882265725761101e+01,1.957719796797724898e+00,1.359105751533000062e+00,4.825615362580446543e+00
8.300000000000000711e+00,1.429267416135874313e+01,1.970938646638426883e+00,1.370387468886060223e+00,4.860338669031278869e+00
8.400000000000000355e+00,1.443709563697708909e+01,1.985090654506165286e+00,1.381466240446250549e+00,4.895871804750779432e+00
8.500000000000000000e+00,1.457990349875633385e+01,2.000047488034811138e+00,1.395002809875074634e+00,4.932825227671197688e+00
8.599999999999999645e+00,1.472639693510610392e+01,2.014412429968200247e+00,1.407165612135339749e+00,4.969231486885769655e+00
8.699999999999999289e+00,1.486770947768426154e+01,2.029436872404620562e+00,1.417970552560640973e+00,5.004930252307676852e+00
8.800000000000000711e+00,1.500943618823164805e+01,2.044121355518928151e+00,1.430669713813658372e+00,5.040186634814898703e+00
8.900000000000000355e+00,1.515533612012960774e+01,2.057595045523336719e+00,1.441783697162987599e+00,5.074267678459969844e+00
9.000000000000000000e+00,1.530005833633791390e+01,2.070807989542393646e+00,1.452566052044961031e+00,5.109649909702354442e+00
9.099999999999999645e+00,1.544688538951463563e+01,2.083851605662024209e+00,1.463254746994239630e+00,5.145770610211119589e+00
9.199999999999999289e+00,1.559183707320443624e+01,2.096770266509943248e+00,1.474145485922598642e+00,5.180158004314686870e+00
9.300000000000000711e+00,1.573538467022436471e+01,2.109563429659751410e+00,1.483155514538278652e+00,5.214729667595147333e+00
9.400000000000000355e+00,1.587680412746941094e+01,2.121957346056225546e+00,1.493239443516699572e+00,5.249339126139111578e+00
9.500000000000000000e+00,1.601995029592454500e+01,2.133829182492186671e+00,1.499318295393116562e+00,5.282759364638880406e+00
9.599999999999999645e+00,1.616775208856547863e+01,2.144906849286776662e+00,1.506756609517876599e+00,5.315351065058028013e+00
9.699999999999999289e+00,1.631178496917500098e+01,2.155886118514892313e+00,1.513508246620885345e+00,5.348372050862672644e+00
9.800000000000000711e+00,1.645977837260962318e+01,2.166889201471129844e+00,1.518341606174888669e+00,5.381679482650841173e+00
9.900000000000000355e+00,1.660886358652855321e+01,2.177029083869383541e+00,1.524892637951626106e+00,5.412410042206534655e+00
1.000000000000000000e+01,1.675481845106268608e+01,2.186629067869688470e+00,1.529617752671122322e+00,5.442286607121119779e+00
1.009999999999999964e+01,1.690109615107760277e+01,2.196752665106691094e+00,1.534952754957188858e+00,5.472204592005123658e+00
1.019999999999999929e+01,1.704544787755174795e+01,2.207067674900729859e+00,1.539871919225447083e+00,5.503500969360193729e+00
1.030000000000000071e+01,1.718785700842212449e+01,2.217443996729111966e+00,1.546961352366547526e+00,5.534902519033901847e+00
1.040000000000000036e+01,1.732618127635555538e+01,2.228692128017781382e+00,1.553256066797926049e+00,5.566345081418335283e+00
1.050000000000000000e+01,1.746755365487232226e+01,2.240838733845142539e+00,1.558760661169313222e+00,5.597141020559138980e+00
1.059999999999999964e+01,1.760753090369162521e+01,2.252002236965284787e+00,1.562740453444785294e+00,5.627084673016973682e+00
1.069999999999999929e+01,1.775140691580580565e+01,2.263553689314793171e+00,1.570397146591868687e+00,5.658007960384627388e+00
1.080000000000000071e+01,1.789508690872839836e+01,2.275223778902951910e+00,1.577233373416023543e+00,5.689591849563822024e+00
1.090000000000000036e+01,1.803642320614356009e+01,2.287290001436303566e+00,1.583222252324782087e+00,5.720542331474868902e+00
1.100000000000000000e+01,1.817483647189826357e+01,2.299376592117923668e+00,1.589805129076238499e+00,5.751598786324391810e+00
1.109999999999999964e+01,1.831580550965821885e+01,2.311460227049203286e+00,1.595461969060719021e+00,5.784000056656051214e+00
1.119999999999999929e+01,1.845521174788449059e+01,2.324269557395747476e+00,1.602486964215758425e+00,5.818589365835290295e+00
1.130000000000000071e+01,1.859794230100419909e+01,2.337924136877875370e+00,1.611014490854204784e+00,5.851936267525618796e+00
1.140000000000000036e+01,1.873928630209812951e+01,2.352676047037069562e+00,1.619248337220338119e+00,5.887130877015516184e+00
1.150000000000000000e+01,1.887769293251377789e+01,2.367162818765701449e+00,1.627875028386092104e+00,5.923045686125973930e+00
1.159999999999999964e+01,1.901574903514400461e+01,2.381052556229315886e+00,1.637317543450629076e+00,5.959858444508276065e+00
1.169999999999999929e+01,1.915605833179679607e+01,2.394373819780688528e+00,1.647399492791640663e+00,5.996539809866028747e+00
1.180000000000000071e+01,1.929393862741493137e+01,2.407142024858280660e+00,1.656643798407509749e+00,6.031253553074861884e+00
