lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.689999999999999858e+01,6.281874106553416226e+01,2.141946896493251984e+01,1.205838119016784127e+01,3.731266100810138653e+01
1.700000000000000000e+01,6.316444772439260191e+01,2.153334067958524045e+01,1.212676832880042532e+01,3.748740815322894804e+01
1.710000000000000142e+01,6.351706521872372235e+01,2.164657064070414094e+01,1.219663586575306446e+01,3.766053359091868202e+01
1.719999999999999929e+01,6.387162408398619107e+01,2.175931921441538819e+01,1.226627361685850559e+01,3.783301623426606142e+01
1.730000000000000071e+01,6.422082402772706189e+01,2.187202861362348827e+01,1.233400851414909560e+01,3.800561842350197139e+01
1.740000000000000213e+01,6.456345984361094281e+01,2.198404407263502947e+01,1.240387556709231553e+01,3.817837404239593724e+01
1.750000000000000000e+01,6.491448309864721011e+01,2.209562414272834374e+01,1.247130927216835516e+01,3.835080070749482672e+01
1.760000000000000142e+01,6.525949888030308443e+01,2.220630699177889156e+01,1.254004958931670366e+01,3.852163693028003877e+01
1.769999999999999929e+01,6.560592700008466238e+01,2.231681972287282179e+01,1.260850033411819560e+01,3.869068854011383962e+01
1.780000000000000071e+01,6.595607536099204538e+01,2.242655798015979229e+01,1.267544869308335542e+01,3.885927344326929500e+01
1.790000000000000213e+01,6.630725049532551907e+01,2.253528619461905436e+01,1.274216095414498184e+01,3.902693925632899408e+01
1.800000000000000000e+01,6.665658357673127909e+01,2.264388741538300565e+01,1.280918196398317654e+01,3.919354920232687078e+01
1.810000000000000142e+01,6.700372217212648707e+01,2.275264382092587212e+01,1.287572328565655511e+01,3.935882630741063082e+01
1.819999999999999929e+01,6.734872142580049115e+01,2.286160962822577858e+01,1.294363284035901707e+01,3.952368778323440779e+01
1.830000000000000071e+01,6.769260011747381611e+01,2.297123773106780575e+01,1.301149310818522942e+01,3.968906223729260319e+01
1.840000000000000213e+01,6.804578590123567494e+01,2.308075937227650343e+01,1.308050081492472039e+01,3.985497338021244929e+01
1.850000000000000000e+01,6.839696663224448514e+01,2.319152954074489870e+01,1.314996801035777807e+01,4.002089912776516911e+01
1.860000000000000142e+01,6.874618055011006845e+01,2.330171460417089335e+01,1.322014063533042894e+01,4.018787239911733877e+01
1.869999999999999929e+01,6.909020552092238177e+01,2.341267826386221174e+01,1.329009045887061191e+01,4.035358527635769121e+01
1.880000000000000071e+01,6.942711158950525885e+01,2.352513796078061858e+01,1.335805488901185711e+01,4.051917949830306043e+01
1.890000000000000213e+01,6.976664068131124452e+01,2.363785401383402274e+01,1.342680635715199067e+01,4.068523605569404822e+01
