lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.440000000000000036e+01,1.850847171265988411e+00,7.100333836053164260e-01,1.707984192709721238e+00,4.926179507134252900e-01,7.592134160711379032e-01
1.450000000000000000e+01,1.858386803458319525e+00,7.115827270129857496e-01,1.712315478060996377e+00,4.947845537785351966e-01,7.613258623152034943e-01
1.460000000000000142e+01,1.866749695442823542e+00,7.136678641424190062e-01,1.717925579135467951e+00,4.973692254931467716e-01,7.648954163406559426e-01
1.470000000000000107e+01,1.873687019373688312e+00,7.156390590841079646e-01,1.723165541611680007e+00,4.994649706495516428e-01,7.671827533619312023e-01
1.480000000000000071e+01,1.879432626169020404e+00,7.175894219025690246e-01,1.728671070131214904e+00,5.013233182328009629e-01,7.696551088251906148e-01
1.490000000000000036e+01,1.889438126925286898e+00,7.194900359292687453e-01,1.734393553472058036e+00,5.023664351530364724e-01,7.712935008725828601e-01
1.500000000000000000e+01,1.897160590775564648e+00,7.212336153940905881e-01,1.740208174634112259e+00,5.029552984234897384e-01,7.721972305253768099e-01
1.510000000000000142e+01,1.901588548156664782e+00,7.232360170179300551e-01,1.747101565033800652e+00,5.034776000163844190e-01,7.732123152810527200e-01
1.520000000000000107e+01,1.906965634887944017e+00,7.258142719371080132e-01,1.754756984869354941e+00,5.043217495711536102e-01,7.744786666843935796e-01
1.530000000000000071e+01,1.915146520962318855e+00,7.287303236482204349e-01,1.762705625026151690e+00,5.055816678280307119e-01,7.767183903383148014e-01
1.540000000000000036e+01,1.920613738025961803e+00,7.317780031454110823e-01,1.770341077210108027e+00,5.070001210220784760e-01,7.793388210198451960e-01
1.550000000000000000e+01,1.930207585003503867e+00,7.345614212170694657e-01,1.777150425916527166e+00,5.078629687350110222e-01,7.812320457344770208e-01
1.560000000000000142e+01,1.935560828192661731e+00,7.369318544418129724e-01,1.783528223877418162e+00,5.088247207017644325e-01,7.836095615897086253e-01
1.570000000000000107e+01,1.942069572415847434e+00,7.395880336239759600e-01,1.789790104457704922e+00,5.102901958629743051e-01,7.863793505552425511e-01
1.580000000000000071e+01,1.946615320643729330e+00,7.427282261675225428e-01,1.796535576716966620e+00,5.121312968023696843e-01,7.894744324752294151e-01
1.590000000000000036e+01,1.954667017078528968e+00,7.455740338703600312e-01,1.803357342541597408e+00,5.140085032443326707e-01,7.923127846488647874e-01
1.600000000000000000e+01,1.961485726775525684e+00,7.485718255842982449e-01,1.811005182184053153e+00,5.153702189265483291e-01,7.943998386602266759e-01
1.610000000000000142e+01,1.967835258558819023e+00,7.517761366612060181e-01,1.818985478478632789e+00,5.168164041700562539e-01,7.968540436077625744e-01
1.619999999999999929e+01,1.973473592581805880e+00,7.546678916894258293e-01,1.826777294455066425e+00,5.183967703566675356e-01,7.995936678410560106e-01
