lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
7.200000000000000178e+00,1.312142827602620088e+01,1.274430654657930084e+01,1.280836291383187309e+01
7.299999999999999822e+00,1.326574385414139101e+01,1.288465341588308810e+01,1.319771736329629697e+01
7.400000000000000355e+00,1.340997140058879822e+01,1.302492352690899580e+01,1.418963129251278943e+01
7.500000000000000000e+00,1.355290756294599497e+01,1.316337710606980593e+01,1.438669434780954148e+01
7.600000000000000533e+00,1.369584540578129506e+01,1.330285940877019613e+01,1.352237991825580465e+01
7.700000000000000178e+00,1.384327804198890277e+01,1.344722271630861954e+01,1.348120474523322265e+01
7.799999999999999822e+00,1.399018368697440451e+01,1.359086031027326769e+01,1.317549725330139054e+01
7.900000000000000355e+00,1.413694665312209864e+01,1.373416753430129944e+01,1.361378717020484963e+01
8.000000000000000000e+00,1.428472278288125885e+01,1.387825060948836331e+01,1.310777395481411212e+01
8.099999999999999645e+00,1.443396532282876343e+01,1.402366779522331797e+01,1.293271381395963715e+01
8.199999999999999289e+00,1.458173978047919128e+01,1.416763263010616392e+01,1.446013364674686663e+01
8.300000000000000711e+00,1.472999820772465362e+01,1.431221998466599743e+01,1.433657599714733344e+01
8.400000000000000355e+00,1.487550947042860194e+01,1.445391646235196426e+01,1.465768289312636696e+01
8.500000000000000000e+00,1.502256317158154708e+01,1.459669022564149010e+01,1.471166322342879162e+01
8.599999999999999645e+00,1.517314067696535318e+01,1.474283309759013783e+01,1.455519290391914033e+01
8.700000000000001066e+00,1.532112805066730310e+01,1.488646304395078346e+01,1.502865939870133083e+01
8.800000000000000711e+00,1.546878516166486861e+01,1.502959973796852644e+01,1.486910884610984418e+01
8.900000000000000355e+00,1.561471493228793861e+01,1.517127074128259778e+01,1.471615264573238413e+01
9.000000000000000000e+00,1.576241042973345508e+01,1.531509406657004924e+01,1.607868983672338103e+01
9.099999999999999645e+00,1.591166761131612084e+01,1.546030527439964075e+01,1.590228816487284824e+01
9.200000000000001066e+00,1.606033680253647233e+01,1.560479975137074860e+01,1.622243701810164751e+01
9.300000000000000711e+00,1.620549998703850036e+01,1.574620870232581638e+01,1.708113411647792645e+01
9.400000000000000355e+00,1.635193296450995248e+01,1.588919986524273043e+01,1.767745289542039799e+01
9.500000000000000000e+00,1.649614959779202650e+01,1.602999474897709575e+01,1.719707505058183372e+01
9.599999999999999645e+00,1.664004076165682022e+01,1.617008561366327868e+01,1.798571336892878847e+01
9.700000000000001066e+00,1.678602743513543771e+01,1.631130141926561095e+01,1.757833931080627465e+01
9.800000000000000711e+00,1.693233757810776297e+01,1.645319953126235291e+01,1.778132326765475923e+01
9.900000000000000355e+00,1.707462160792652384e+01,1.659084001458746727e+01,1.884929089477545361e+01
