lag_ps,MSD_A2
3.970000000000000284e+01,1.527867589411016747e+00
3.980000000000000426e+01,1.527649556511633255e+00
3.990000000000000568e+01,1.527699515791204332e+00
4.000000000000000000e+01,1.529216578452290420e+00
4.010000000000000142e+01,1.532739353398373305e+00
4.020000000000000284e+01,1.536466794311167616e+00
4.030000000000000426e+01,1.540785279787859618e+00
4.040000000000000568e+01,1.541509468691614648e+00
4.050000000000000000e+01,1.543339954915159629e+00
4.060000000000000142e+01,1.547491131454538094e+00
4.070000000000000284e+01,1.548728777076358032e+00
4.080000000000000426e+01,1.550100866366062480e+00
4.090000000000000568e+01,1.550051484418380587e+00
4.100000000000000000e+01,1.552528182998310857e+00
4.110000000000000142e+01,1.554142908666407585e+00
4.120000000000000284e+01,1.554599126745094262e+00
4.130000000000000426e+01,1.555079851835158955e+00
4.140000000000000568e+01,1.555570110890395430e+00
4.150000000000000000e+01,1.556904821157877983e+00
4.160000000000000142e+01,1.559118722023280945e+00
4.170000000000000284e+01,1.558840446160149718e+00
4.180000000000000426e+01,1.558457815986109996e+00
4.190000000000000568e+01,1.557927603149544149e+00
4.200000000000000000e+01,1.556580530013329744e+00
4.210000000000000142e+01,1.558729552275994523e+00
4.220000000000000284e+01,1.560772144970092201e+00
4.230000000000000426e+01,1.564422280914900432e+00
4.240000000000000568e+01,1.568144236278664838e+00
4.250000000000000000e+01,1.569702080627390917e+00
4.260000000000000142e+01,1.571239136154794602e+00
4.270000000000000284e+01,1.574779877602614508e+00
4.280000000000000426e+01,1.577277620173489714e+00
4.290000000000000568e+01,1.579505938715000779e+00
4.300000000000000000e+01,1.579554546006386229e+00
4.310000000000000142e+01,1.580002489097470875e+00
4.320000000000000284e+01,1.579892712838502522e+00
4.330000000000000426e+01,1.580299630732068694e+00
4.340000000000000568e+01,1.579006474879139033e+00
4.350000000000000000e+01,1.578562261107317788e+00
4.360000000000000142e+01,1.578760466454467215e+00
4.370000000000000284e+01,1.580539879740450182e+00
4.380000000000000426e+01,1.583427424374846293e+00
4.390000000000000568e+01,1.586389041737187311e+00
4.400000000000000000e+01,1.590303072003714790e+00
4.410000000000000142e+01,1.590432352696715457e+00
4.420000000000000284e+01,1.592226915785412755e+00
4.430000000000000426e+01,1.592521359394442060e+00
4.440000000000000568e+01,1.593153071567639856e+00
4.450000000000000000e+01,1.595833898828855846e+00
4.460000000000000142e+01,1.596776713562932049e+00
4.470000000000000284e+01,1.596674044039039453e+00
4.480000000000000426e+01,1.598479056613567595e+00
4.490000000000000568e+01,1.599226298653687373e+00
4.500000000000000000e+01,1.601304989655689459e+00
4.510000000000000142e+01,1.601052806202033274e+00
4.520000000000000284e+01,1.602087331730627451e+00
4.530000000000000426e+01,1.603572806934783435e+00
4.540000000000000568e+01,1.604889549696948414e+00
4.550000000000000000e+01,1.605958629618680966e+00
4.560000000000000142e+01,1.607135037816053824e+00
4.570000000000000284e+01,1.608263955589739780e+00
4.580000000000000426e+01,1.609020428233961741e+00
4.590000000000000568e+01,1.609546331213107528e+00
4.600000000000000000e+01,1.610808595256175924e+00
4.610000000000000142e+01,1.610884322365219834e+00
4.620000000000000284e+01,1.611352616098872481e+00
4.630000000000000426e+01,1.609293730973014869e+00
4.640000000000000568e+01,1.609446422831446233e+00
4.650000000000000000e+01,1.607572003107590186e+00
4.660000000000000142e+01,1.607880991109118751e+00
4.670000000000000284e+01,1.606247406530264099e+00
4.680000000000000426e+01,1.605613445479361800e+00
4.690000000000000568e+01,1.605348313255238191e+00
4.700000000000000000e+01,1.604729174003341585e+00
4.710000000000000142e+01,1.606320445586412182e+00
4.720000000000000284e+01,1.605299807699319237e+00
4.730000000000000426e+01,1.607071098235092421e+00
4.740000000000000568e+01,1.609346467041552486e+00
4.750000000000000000e+01,1.611295823250333603e+00
4.760000000000000142e+01,1.612366009077180751e+00
4.770000000000000284e+01,1.615227479209667916e+00
4.780000000000000426e+01,1.617008717590706857e+00
4.790000000000000568e+01,1.617463319046259729e+00
4.800000000000000000e+01,1.619239023775894237e+00
4.810000000000000142e+01,1.621629383051392370e+00
4.820000000000000284e+01,1.623200156881644762e+00
4.830000000000000426e+01,1.622892495035655358e+00
4.840000000000000568e+01,1.625059937548930966e+00
4.850000000000000000e+01,1.625021986320728473e+00
4.860000000000000142e+01,1.627102805822710607e+00
4.870000000000000284e+01,1.628489787646102194e+00
4.880000000000000426e+01,1.629234969369130370e+00
4.890000000000000568e+01,1.629148115508522565e+00
4.900000000000000000e+01,1.628815454678787189e+00
4.910000000000000142e+01,1.627742379207651968e+00
4.920000000000000284e+01,1.627273217331756117e+00
4.930000000000000426e+01,1.627487978221429543e+00
4.940000000000000568e+01,1.627580152668490543e+00
4.950000000000000000e+01,1.627405988428073158e+00
4.960000000000000142e+01,1.627829743163120124e+00
4.970000000000000284e+01,1.628736876898669417e+00
4.980000000000000426e+01,1.630832634007634896e+00
4.990000000000000568e+01,1.633357242929654785e+00
5.000000000000000000e+01,1.633628538364151783e+00
5.010000000000000142e+01,1.632369749007420934e+00
5.020000000000000284e+01,1.634711357778693586e+00
5.030000000000000426e+01,1.635015013914390192e+00
5.040000000000000568e+01,1.636693967898525059e+00
5.050000000000000000e+01,1.638929757196017301e+00
5.060000000000000142e+01,1.643065828930758032e+00
5.070000000000000284e+01,1.643034882826462040e+00
