# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
219000 107.084 124.633 218.945 450.662
220000 105.987 127.249 222.436 455.672
221000 104.91 130.041 221.149 456.1
222000 104.876 124.878 219.56 449.314
223000 104.005 128.054 220.041 452.1
224000 105.974 125.778 214.337 446.088
225000 105.595 131.621 212.747 449.963
226000 104.863 132.383 216.296 453.542
227000 110.289 132.808 219.22 462.316
228000 105.398 135.087 227.943 468.428
229000 108.765 134.677 240.89 484.332
230000 111.569 138.376 241.916 491.86
231000 108.23 134.878 243.36 486.468
232000 110.936 139.02 243.059 493.015
233000 111.048 140.336 249.089 500.473
234000 110.829 139.915 248.947 499.691
235000 110.655 141.353 249.507 501.516
236000 110.106 141.845 253.044 504.995
237000 111.75 144.505 257.039 513.294
238000 110.569 144.322 253.881 508.772
239000 111.18 145.044 261.662 517.887
240000 113.968 147.599 268.384 529.951
241000 113.767 147.461 264.26 525.488
242000 115.737 152.252 263.6 531.588
243000 113.92 157.977 269.269 541.166
244000 112.305 160.043 267.498 539.846
245000 115.729 162.131 273.118 550.977
246000 113.541 161.662 273.309 548.512
247000 111.825 154.394 274.763 540.982
248000 113.374 157.449 274.643 545.465
249000 113.181 158.976 280.524 552.682
250000 112.74 159.102 281.762 553.603
251000 113.389 161.308 275.193 549.89
252000 111.729 165.605 284.829 562.163
253000 110.275 163.487 295.797 569.559
254000 116.722 167.149 293.649 577.52
255000 116.628 172.179 297.688 586.495
256000 120.643 170.83 300.667 592.14
257000 121.821 170.299 305.583 597.703
258000 118.714 166.782 308.419 593.916
259000 118.966 172.717 312.795 604.477
260000 123.961 175.983 312.969 612.913
261000 125.401 180.142 314.418 619.961
262000 122.666 181.006 316.369 620.042
263000 116.933 181.701 310.584 609.218
264000 120.716 185.271 310.74 616.727
265000 118.479 189.204 318.712 626.394
266000 118.465 187.112 317.344 622.921
